timestamp,open,high,low,close,volume,MarketCapital
2009-12-22,6.407,6.865,6.407,6.865,4000.0,10572.0
2009-12-23,6.52,6.52,6.52,6.52,500.0,11075.0
2009-12-24,6.52,6.52,6.52,6.52,1000.0,11363.0
2009-12-25,7.096,7.096,7.096,7.096,200.0,11650.0
2009-12-28,7.096,7.096,7.096,7.096,400.0,11363.0
2009-12-29,7.096,7.096,6.52,6.52,2000.0,11075.0
2009-12-30,6.52,6.52,6.407,6.407,3300.0,11219.0
2009-12-31,6.639,6.639,6.407,6.407,1700.0,11363.0
2010-01-04,6.407,6.407,6.295,6.295,1700.0,11866.0
2010-01-05,6.407,6.639,6.181,6.407,12500.0,11866.0
2010-01-06,5.95,6.176,5.95,6.176,5000.0,11650.0
2010-01-07,6.063,6.063,5.718,5.718,6000.0,11578.0
2010-01-08,5.493,5.493,5.493,5.493,4000.0,11219.0
2010-01-11,5.493,5.493,5.493,5.493,1000.0,11147.0
2010-01-12,5.036,5.036,4.94,5.036,2000.0,10931.0
2010-01-13,5.148,5.469,5.148,5.469,89430.0,11291.0
2010-01-14,5.445,5.445,5.445,5.445,0.0,11363.0
2010-01-15,5.973,5.973,5.973,5.973,30000.0,11147.0
2010-01-18,6.556,6.556,6.556,6.556,5000.0,10931.0
2010-01-19,5.903,6.918,5.903,6.918,17270.0,11147.0
2010-01-20,6.359,6.359,6.359,6.359,0.0,11363.0
2010-01-21,5.73,6.556,5.73,6.556,12030.0,11219.0
2010-01-22,6.437,6.437,6.437,6.437,0.0,11219.0
2010-01-25,6.799,6.918,6.799,6.918,22000.0,11291.0
2010-01-26,6.918,6.918,6.918,6.918,0.0,11650.0
2010-01-27,6.556,6.556,6.556,6.556,1892.0,11219.0
2010-01-28,6.556,6.556,6.556,6.556,0.0,11219.0
2010-01-29,6.556,6.556,6.556,6.556,0.0,11075.0
2010-02-01,6.556,6.556,6.556,6.556,0.0,11219.0
2010-02-02,7.042,7.042,7.042,7.042,2000.0,11650.0
2010-02-03,7.042,7.042,7.042,7.042,0.0,12154.0
2010-02-04,7.042,7.042,7.042,7.042,0.0,12154.0
2010-02-05,7.042,7.042,7.042,7.042,0.0,11650.0
2010-02-08,7.042,7.042,7.042,7.042,0.0,11938.0
2010-02-09,7.042,7.042,7.042,7.042,0.0,11435.0
2010-02-10,7.042,7.042,7.042,7.042,0.0,11794.0
2010-02-11,7.042,7.042,7.042,7.042,0.0,12010.0
2010-02-12,7.042,7.042,7.042,7.042,0.0,12082.0
2010-02-22,7.042,7.042,7.042,7.042,0.0,12010.0
2010-02-23,6.336,6.336,6.336,6.336,20000.0,11578.0
2010-02-24,6.336,6.336,6.336,6.336,0.0,11578.0
2010-02-25,6.313,6.437,6.313,6.313,107600.0,11578.0
2010-02-26,6.336,6.336,6.336,6.336,0.0,11219.0
2010-03-01,6.437,6.556,6.437,6.437,32000.0,11507.0
2010-03-02,6.556,6.556,6.556,6.556,10000.0,11507.0
2010-03-03,6.556,6.603,6.556,6.603,20500.0,11650.0
2010-03-04,7.232,7.232,7.232,7.232,50.0,11866.0
2010-03-05,7.042,7.941,7.042,7.941,250.0,11794.0
2010-03-08,7.208,7.208,7.208,7.208,0.0,11866.0
2010-03-09,7.208,7.208,7.208,7.208,0.0,12082.0
2010-03-10,6.578,6.578,6.578,6.578,2000.0,12657.0
2010-03-11,6.578,6.578,6.578,6.578,160000.0,12801.0
2010-03-12,7.232,7.232,7.232,7.232,10.0,12801.0
2010-03-15,7.941,7.941,7.941,7.941,2010.0,12657.0
2010-03-16,7.941,7.941,7.941,7.941,0.0,12082.0
2010-03-17,7.184,8.717,7.184,8.717,670.0,12154.0
2010-03-18,6.509,7.915,6.509,7.915,1010.0,12441.0
2010-03-19,7.114,7.114,7.114,7.114,10.0,12370.0
2010-03-22,7.821,7.821,7.821,7.821,1000.0,12082.0
2010-03-23,7.042,7.042,7.042,7.042,300.0,11938.0
2010-03-24,6.336,6.336,6.336,6.336,12.0,12226.0
2010-03-25,6.069,6.966,5.707,5.707,1200.0,12010.0
2010-03-26,6.799,6.799,6.799,6.799,3000.0,11938.0
2010-03-29,6.116,7.476,6.116,7.476,9010.0,12154.0
2010-03-30,8.183,8.183,8.183,8.183,300.0,12010.0
