timestamp,open,high,low,close,volume,MarketCapital
2011-03-03,19.764,19.764,19.764,19.764,7720.0,10424.0
2011-03-04,19.764,19.764,19.764,19.764,0.0,10424.0
2011-03-07,19.764,19.764,18.83,19.262,2110.0,10424.0
2011-03-08,18.326,18.326,18.326,18.326,30.0,10617.0
2011-03-09,17.465,17.465,17.465,17.465,10.0,10424.0
2011-03-10,16.602,16.602,16.602,16.602,10.0,10520.0
2011-03-11,15.811,15.811,15.811,15.811,120.0,10424.0
2011-03-14,15.019,15.019,15.019,15.019,10.0,10231.0
2011-03-15,14.302,14.302,14.302,14.302,130.0,10134.0
2011-03-16,13.655,13.655,13.655,13.655,0.0,10134.0
2011-03-17,13.008,13.008,13.008,13.008,10.0,10038.0
2011-03-18,12.362,12.362,12.362,12.362,180.0,10231.0
2011-03-21,11.786,11.786,11.786,11.786,610.0,10231.0
2011-03-22,11.212,11.212,11.212,11.212,10.0,10231.0
2011-03-23,11.212,11.212,11.212,11.212,6720.0,10327.0
2011-03-24,10.204,10.709,10.204,10.204,6540.0,10231.0
2011-03-25,9.702,10.421,9.702,10.421,15260.0,10134.0
2011-03-28,10.421,10.494,10.421,10.494,7840.0,10038.0
2011-03-29,9.989,10.996,9.989,9.989,2320.0,9941.0
2011-03-30,9.631,10.421,9.631,10.277,640.0,9845.0
2011-03-31,10.061,10.565,10.061,10.421,1220.0,9845.0
2011-04-01,10.421,10.421,9.918,9.918,1240.0,9632.0
2011-04-04,9.918,9.918,9.918,9.918,0.0,10038.0
2011-04-05,10.204,10.204,9.558,9.558,2180.0,10520.0
2011-04-06,9.702,9.702,9.127,9.631,860.0,11003.0
2011-04-07,9.199,9.199,9.199,9.199,1230.0,11099.0
2011-04-08,8.768,9.199,8.768,8.768,960.0,11099.0
2011-04-13,8.625,8.696,8.625,8.696,1700.0,10617.0
2011-04-14,8.482,8.696,8.482,8.696,270.0,10231.0
2011-04-15,8.984,8.984,8.409,8.984,1730.0,10231.0
2011-04-18,8.984,9.127,8.984,9.127,18.0,9941.0
2011-04-19,9.127,9.127,9.127,9.127,10.0,9845.0
2011-04-20,9.199,9.199,9.199,9.199,10.0,9748.0
2011-04-21,9.199,9.199,9.199,9.199,0.0,9748.0
2011-04-22,9.199,9.199,9.199,9.199,0.0,9632.0
2011-04-25,8.984,9.487,8.984,9.487,1320.0,10037.0
2011-04-26,9.487,9.487,9.487,9.487,0.0,9844.0
2011-04-27,9.487,9.487,9.487,9.487,0.0,9844.0
