timestamp,open,high,low,close,volume,MarketCapital
2010-04-20,5.096,5.096,5.096,5.096,1000.0,12370.0
2010-04-21,5.096,5.096,5.096,5.096,0.0,12370.0
2010-04-22,5.724,5.724,5.249,5.249,300.0,12657.0
2010-04-26,5.255,5.255,5.149,5.149,1000.0,12729.0
2010-04-27,5.149,5.149,5.096,5.096,3000.0,12729.0
2010-04-28,5.149,5.255,5.149,5.149,6000.0,12729.0
2010-04-29,5.855,5.855,4.844,4.844,3100.0,12657.0
2010-05-04,5.096,5.096,5.096,5.096,7000.0,12729.0
2010-05-05,5.046,5.046,4.998,4.998,800.0,12801.0
2010-05-06,4.998,4.998,4.998,4.998,0.0,12585.0
2010-05-07,5.096,5.199,4.998,5.096,19400.0,12441.0
2010-05-10,5.61,5.61,5.61,5.61,700.0,12298.0
2010-05-11,6.221,6.221,6.167,6.167,400.0,9205.0
2010-05-12,6.167,6.167,6.167,6.167,0.0,8989.0
2010-05-13,6.117,6.117,6.117,6.117,2000.0,9133.0
2010-05-14,5.61,5.61,5.61,5.61,1000.0,9133.0
2010-05-17,5.61,5.61,5.61,5.61,0.0,8774.0
2010-05-18,5.61,5.61,5.61,5.61,0.0,8774.0
2010-05-19,5.046,5.046,5.046,5.046,8200.0,8558.0
2010-05-20,5.046,5.046,5.046,5.046,0.0,8846.0
2010-05-21,4.9,4.9,4.637,4.637,5600.0,8486.0
2010-05-24,4.993,4.993,4.894,4.894,1400.0,8846.0
2010-05-25,4.894,4.894,4.894,4.894,0.0,9277.0
2010-05-26,4.894,4.894,4.894,4.894,0.0,9277.0
2010-05-27,4.894,4.894,4.894,4.894,0.0,9421.0
2010-05-28,4.587,4.587,4.587,4.587,4600.0,9493.0
2010-05-31,4.331,4.331,4.331,4.331,1000.0,9349.0
2010-06-01,4.539,4.85,4.539,4.539,3250.0,9493.0
2010-06-02,4.539,4.539,4.539,4.539,0.0,9493.0
2010-06-03,4.434,4.434,4.434,4.434,1500.0,9565.0
2010-06-04,4.386,4.386,4.386,4.386,2700.0,9637.0
2010-06-07,4.282,4.282,4.233,4.233,12000.0,9277.0
2010-06-08,4.244,4.244,3.977,3.977,17400.0,9349.0
2010-06-09,4.331,4.331,4.331,4.331,4000.0,9493.0
2010-06-10,4.587,4.587,4.587,4.587,5000.0,9565.0
2010-06-11,5.046,5.046,5.046,5.046,10.0,9637.0
2010-06-14,4.587,4.587,4.587,4.587,1500.0,9852.0
2010-06-15,5.046,5.046,4.844,4.844,2020.0,9565.0
2010-06-16,5.303,5.303,5.303,5.303,30.0,9709.0
2010-06-17,5.657,5.761,5.657,5.761,35.0,9852.0
2010-06-18,5.761,5.761,5.761,5.761,0.0,9709.0
2010-06-21,6.34,6.34,5.303,5.303,220.0,9924.0
2010-06-22,5.396,5.396,4.696,5.096,3220.0,10068.0
2010-06-23,4.998,5.447,4.497,4.696,1515.0,9709.0
2010-06-24,4.441,4.637,4.441,4.637,11300.0,9996.0
2010-06-25,4.233,4.637,4.233,4.587,4150.0,9852.0
2010-06-28,4.331,5.046,4.331,4.587,9600.0,9781.0
2010-06-29,4.282,4.993,4.134,4.434,9300.0,9996.0
2010-06-30,5.129,5.129,4.321,4.539,2380.0,9924.0
2010-07-01,5.059,5.059,4.224,4.539,5300.0,10068.0
2010-07-02,4.894,4.894,4.594,4.894,70060.0,13014.0
2010-07-05,5.353,5.353,5.199,5.353,80350.0,13109.0
2010-07-06,5.861,5.861,5.861,5.861,82870.0,13014.0
2010-07-07,6.642,6.642,5.483,6.221,32800.0,12918.0
2010-07-08,5.708,5.708,5.61,5.61,16700.0,13301.0
2010-07-09,5.554,5.554,4.998,5.303,68480.0,13205.0
2010-07-12,5.756,5.756,5.046,5.303,22000.0,13109.0
2010-07-13,5.756,5.756,5.303,5.457,20180.0,13301.0
2010-07-14,5.401,5.401,4.911,5.401,19390.0,13109.0
2010-07-15,4.746,5.303,4.746,5.303,14600.0,13301.0
2010-07-16,5.303,5.811,5.303,5.811,139100.0,13301.0
2010-07-19,5.861,6.069,5.457,5.861,191600.0,13397.0
2010-07-20,6.069,6.069,5.457,5.554,102200.0,13397.0
2010-07-21,5.61,5.761,5.303,5.303,30500.0,13301.0
2010-07-22,5.401,5.401,5.303,5.353,11500.0,13397.0
2010-07-23,5.303,5.303,4.943,5.303,44700.0,13492.0
2010-07-26,5.303,5.303,5.046,5.149,41900.0,13301.0
2010-07-27,5.096,5.096,4.998,4.998,56600.0,13875.0
2010-07-28,5.149,5.149,4.844,5.149,67100.0,13588.0
2010-07-29,4.943,5.149,4.894,5.046,29200.0,14258.0
2010-07-30,5.096,5.199,4.998,5.199,56900.0,14736.0
2010-08-02,5.096,5.096,5.046,5.046,65000.0,14641.0
2010-08-03,4.998,4.998,4.791,4.791,22200.0,14928.0
2010-08-04,4.998,4.998,4.692,4.844,24400.0,14449.0
2010-08-05,4.741,4.894,4.741,4.844,23700.0,15119.0
2010-08-06,4.844,4.894,4.692,4.741,20000.0,14869.0
2010-08-09,4.491,4.587,4.347,4.587,35500.0,14482.0
2010-08-10,4.587,4.587,4.491,4.587,25600.0,14289.0
