timestamp,open,high,low,close,volume,MarketCapital
2011-01-11,4.86,4.86,4.86,4.86,20120.0,12064.0
2011-01-12,4.619,4.619,4.619,4.619,2460.0,11775.0
2011-01-13,4.423,4.423,4.423,4.423,2420.0,11678.0
2011-01-14,4.229,4.229,4.229,4.229,1820.0,12257.0
2011-01-17,4.131,4.229,4.035,4.229,9370.0,12547.0
2011-01-18,4.131,4.131,4.035,4.035,36000.0,12547.0
2011-01-19,3.889,4.035,3.889,4.035,16720.0,12450.0
2011-01-20,4.131,4.131,3.84,3.987,22590.0,12257.0
2011-01-21,4.035,4.035,3.889,3.987,6700.0,12354.0
2011-01-24,3.889,3.889,3.793,3.793,6450.0,12161.0
2011-01-25,3.889,3.889,3.694,3.694,2180.0,12064.0
2011-01-26,3.793,3.84,3.793,3.84,6920.0,11968.0
2011-01-27,3.987,3.987,3.889,3.889,3590.0,12547.0
2011-01-28,3.889,4.035,3.889,4.035,770.0,12161.0
2011-02-08,3.84,4.035,3.84,4.035,2990.0,12257.0
2011-02-09,3.889,4.131,3.889,4.035,1120.0,12161.0
2011-02-10,3.84,3.889,3.84,3.84,3670.0,12064.0
2011-02-11,3.793,3.84,3.694,3.84,22600.0,11968.0
2011-02-14,3.745,3.745,3.743,3.743,30.0,11871.0
2011-02-15,3.597,3.743,3.597,3.743,6870.0,11871.0
2011-02-16,3.645,3.645,3.597,3.597,2360.0,11775.0
2011-02-17,3.597,3.597,3.499,3.597,1590.0,11775.0
2011-02-18,3.597,3.597,3.548,3.597,8130.0,11196.0
2011-02-21,3.548,3.548,3.45,3.548,4900.0,10713.0
2011-02-22,3.404,3.404,3.402,3.402,4000.0,10424.0
2011-02-23,3.499,3.548,3.353,3.499,10660.0,10327.0
2011-02-24,3.402,3.499,3.353,3.499,520.0,10231.0
2011-02-25,3.499,3.597,3.499,3.597,3020.0,10713.0
2011-02-28,3.597,3.597,3.45,3.597,1110.0,10424.0
2011-03-01,3.597,3.597,3.45,3.499,4110.0,10520.0
2011-03-02,3.499,3.499,3.353,3.353,2600.0,10424.0
2011-03-03,3.256,3.353,3.207,3.353,2110.0,10424.0
2011-03-04,3.207,3.304,3.207,3.304,1600.0,10424.0
2011-03-07,3.207,3.402,3.159,3.159,22150.0,10424.0
2011-03-08,3.061,3.159,3.013,3.159,11570.0,10617.0
2011-03-09,3.061,3.11,3.061,3.061,6690.0,10424.0
2011-03-10,3.11,3.207,3.11,3.207,1270.0,10520.0
2011-03-11,3.256,3.353,3.256,3.353,21510.0,10424.0
2011-03-14,3.353,3.353,3.207,3.207,3010.0,10231.0
2011-03-15,3.353,3.353,3.353,3.353,210.0,10134.0
2011-03-16,3.353,3.45,3.353,3.353,30.0,10134.0
2011-03-17,3.402,3.499,3.402,3.499,250.0,10038.0
2011-03-18,3.499,3.499,3.499,3.499,40.0,10231.0
2011-03-21,3.45,3.499,3.353,3.353,6430.0,10231.0
2011-03-22,3.353,3.353,3.304,3.304,2150.0,10231.0
2011-03-23,3.351,3.351,3.305,3.351,12280.0,10327.0
2011-03-24,3.402,3.402,3.353,3.402,4330.0,10231.0
2011-03-25,3.499,3.499,3.499,3.499,100.0,10134.0
2011-03-28,3.499,3.499,3.353,3.499,1070.0,10038.0
2011-03-29,3.353,3.353,3.353,3.353,8160.0,9941.0
2011-03-30,3.304,3.353,3.256,3.353,4860.0,9845.0
2011-03-31,3.353,3.353,3.304,3.353,3470.0,9845.0
2011-04-01,3.353,3.353,3.207,3.207,17210.0,9632.0
2011-04-04,3.353,3.353,3.353,3.353,7320.0,10038.0
2011-04-05,3.353,3.402,3.353,3.353,2890.0,10520.0
2011-04-06,3.45,3.45,3.45,3.45,1300.0,11003.0
2011-04-07,3.45,3.45,3.402,3.45,9730.0,11099.0
2011-04-08,3.45,3.45,3.45,3.45,5520.0,11099.0
2011-04-13,3.402,3.402,3.402,3.402,7490.0,10617.0
2011-04-14,3.402,3.499,3.402,3.499,1110.0,10231.0
2011-04-15,3.499,3.499,3.499,3.499,10.0,10231.0
2011-04-18,3.402,3.499,3.402,3.499,100.0,9941.0
2011-04-19,3.499,3.499,3.499,3.499,0.0,9845.0
2011-04-20,3.499,3.499,3.499,3.499,0.0,9748.0
2011-04-21,3.402,3.499,3.402,3.499,160.0,9748.0
2011-04-22,3.499,3.499,3.402,3.402,1870.0,9632.0
2011-04-25,3.548,3.548,3.402,3.499,30.0,10037.0
2011-04-26,3.45,3.499,3.45,3.499,20.0,9844.0
2011-04-27,3.499,3.499,3.45,3.45,5260.0,9844.0
2011-04-28,3.499,3.499,3.499,3.499,200.0,9747.0
2011-04-29,3.499,3.499,3.402,3.499,5520.0,9844.0
2011-05-04,3.402,3.402,3.402,3.402,2000.0,9941.0
2011-05-05,3.45,3.45,3.45,3.45,2040.0,9941.0
2011-05-06,3.402,3.499,3.402,3.499,7940.0,10037.0
2011-05-09,3.499,3.645,3.499,3.645,1720.0,10230.0
2011-05-10,3.791,3.791,3.645,3.645,14660.0,10230.0
2011-05-11,3.889,3.889,3.793,3.889,15340.0,10134.0
2011-05-12,3.889,3.889,3.889,3.889,11350.0,10134.0
2011-05-13,3.889,3.889,3.84,3.889,4680.0,10134.0
2011-05-16,3.987,3.987,3.889,3.889,18050.0,9941.0
2011-05-17,3.889,3.889,3.694,3.694,4090.0,9941.0
2011-05-18,3.84,3.84,3.793,3.84,17830.0,9844.0
2011-05-19,3.938,3.938,3.793,3.793,9320.0,9941.0
2011-05-20,3.68,3.848,3.68,3.734,2970.0,9747.0
2011-05-23,3.68,3.902,3.68,3.848,4490.0,9265.0
2011-05-24,3.68,3.793,3.68,3.68,13620.0,8802.0
2011-05-25,3.512,3.512,3.512,3.512,5650.0,8377.0
2011-05-26,3.345,3.68,3.345,3.68,910.0,8782.0
2011-05-27,3.848,3.848,3.734,3.793,11120.0,8802.0
2011-05-30,3.848,3.848,3.734,3.734,4140.0,8744.0
2011-05-31,3.568,3.734,3.568,3.734,15150.0,8744.0
2011-06-01,3.624,3.793,3.624,3.793,2470.0,9168.0
2011-06-02,3.793,3.793,3.793,3.793,1670.0,9612.0
2011-06-03,3.902,3.902,3.624,3.793,18320.0,9747.0
2011-06-06,3.848,3.848,3.793,3.848,3640.0,9651.0
2011-06-07,3.848,3.848,3.848,3.848,300.0,10037.0
2011-06-08,3.848,3.848,3.848,3.848,0.0,9844.0
2011-06-09,3.793,3.848,3.734,3.734,1800.0,9844.0
2011-06-10,3.734,3.848,3.734,3.793,6600.0,9747.0
2011-06-13,3.848,3.848,3.793,3.793,6830.0,9747.0
2011-06-14,3.848,3.848,3.848,3.848,5100.0,9651.0
2011-06-15,3.848,3.848,3.734,3.734,12500.0,9651.0
2011-06-16,3.734,3.848,3.734,3.848,3010.0,9747.0
2011-06-17,3.848,3.848,3.734,3.793,4660.0,9651.0
2011-06-20,3.793,3.902,3.793,3.902,5100.0,9554.0
2011-06-21,3.902,3.959,3.902,3.959,5400.0,9651.0
2011-06-22,3.902,3.959,3.902,3.902,18800.0,9747.0
2011-06-23,3.959,3.959,3.902,3.902,15750.0,9593.0
2011-06-24,3.959,3.959,3.959,3.959,3670.0,9554.0
2011-06-27,4.072,4.124,4.072,4.124,16830.0,9381.0
2011-06-28,4.124,4.124,4.124,4.124,25960.0,9458.0
2011-06-29,4.124,4.182,3.959,4.182,2630.0,9284.0
2011-06-30,4.071,4.122,4.071,4.122,2300.0,9265.0
2011-07-01,4.182,4.182,4.072,4.072,1710.0,8995.0
2011-07-04,4.072,4.072,4.014,4.072,4000.0,8879.0
2011-07-05,4.072,4.072,4.072,4.072,0.0,8860.0
2011-07-06,4.072,4.072,4.014,4.014,2230.0,9014.0
2011-07-07,3.959,4.124,3.902,3.902,3010.0,8995.0
2011-07-08,4.014,4.014,4.014,4.014,10.0,9361.0
2011-07-11,4.014,4.072,4.014,4.072,2050.0,9381.0
2011-07-12,3.902,3.902,3.902,3.902,2090.0,9520.0
2011-07-13,4.014,4.014,4.014,4.014,20.0,9655.0
2011-07-14,4.014,4.014,4.014,4.014,0.0,9635.0
2011-07-15,4.014,4.014,3.848,3.848,1110.0,9520.0
2011-07-18,3.848,3.848,3.793,3.793,272.0,9539.0
2011-07-19,3.902,3.902,3.902,3.902,50.0,9616.0
2011-07-20,4.014,4.014,4.014,4.014,1210.0,10041.0
2011-07-21,4.014,4.014,4.014,4.014,0.0,9848.0
2011-07-22,3.959,4.014,3.959,3.959,1020.0,9848.0
2011-07-25,3.959,3.959,3.959,3.959,0.0,9944.0
2011-07-26,3.848,4.014,3.848,4.014,20.0,10138.0
2011-07-27,4.014,4.014,4.014,4.014,1500.0,10620.0
2011-07-28,4.014,4.014,4.014,4.014,0.0,11006.0
2011-07-29,4.014,4.014,4.014,4.014,1070.0,11103.0
2011-08-01,3.959,3.959,3.959,3.959,80.0,10739.0
2011-08-02,3.902,3.902,3.902,3.902,5000.0,10352.0
2011-08-03,3.848,3.848,3.848,3.848,90.0,10545.0
2011-08-04,3.848,3.848,3.848,3.848,200.0,10739.0
2011-08-05,3.848,3.848,3.848,3.848,50.0,10642.0
2011-08-08,3.902,3.902,3.902,3.902,10.0,10352.0
2011-08-09,3.734,3.734,3.734,3.734,1020.0,9965.0
2011-08-10,3.624,3.793,3.624,3.793,1070.0,10158.0
2011-08-11,3.793,3.793,3.793,3.793,300.0,10449.0
2011-08-12,3.793,3.793,3.793,3.793,0.0,10449.0
2011-08-15,3.793,3.793,3.624,3.624,10000.0,10449.0
2011-08-16,3.734,3.734,3.734,3.734,850.0,10449.0
2011-08-17,3.902,3.902,3.902,3.902,10.0,10545.0
2011-08-18,3.902,3.902,3.902,3.902,0.0,10642.0
2011-08-19,3.902,3.902,3.902,3.902,0.0,10449.0
2011-08-22,3.902,3.959,3.902,3.959,4000.0,10545.0
2011-08-23,4.014,4.014,3.959,3.959,18900.0,10545.0
2011-08-24,3.959,3.959,3.959,3.959,1000.0,10545.0
2011-08-25,3.902,3.959,3.902,3.959,6000.0,10545.0
2011-08-26,3.959,4.072,3.959,4.072,1210.0,10642.0
2011-08-29,4.182,4.182,3.959,3.959,260.0,10739.0
2011-08-30,4.072,4.072,3.959,3.959,9940.0,10836.0
2011-08-31,4.072,4.072,4.072,4.072,20.0,10739.0
2011-09-01,4.072,4.072,3.902,4.014,1760.0,10836.0
2011-09-05,4.014,4.014,4.014,4.014,0.0,10836.0
2011-09-06,3.902,4.014,3.902,4.014,5490.0,10836.0
2011-09-07,3.902,3.902,3.902,3.902,500.0,10739.0
2011-09-08,3.959,3.959,3.959,3.959,500.0,10836.0
2011-09-09,4.014,4.014,4.014,4.014,3000.0,10642.0
2011-09-12,4.124,4.124,3.959,4.072,130.0,10352.0
2011-09-13,4.238,4.238,3.959,4.124,3670.0,10158.0
2011-09-14,4.182,4.182,4.014,4.124,6190.0,9771.0
2011-09-15,4.124,4.124,4.014,4.124,1900.0,10255.0
2011-09-16,4.124,4.124,4.014,4.124,470.0,9965.0
2011-09-19,4.124,4.124,4.124,4.124,10.0,10449.0
2011-09-20,4.124,4.124,4.072,4.072,540.0,10255.0
2011-09-21,4.072,4.072,4.014,4.072,1010.0,10352.0
2011-09-22,4.072,4.124,4.072,4.124,2770.0,10352.0
2011-09-23,4.182,4.182,4.014,4.014,130.0,10158.0
2011-09-26,4.014,4.072,3.848,4.014,21330.0,9965.0
2011-09-27,4.124,4.124,4.124,4.124,20.0,9868.0
2011-09-28,4.182,4.182,4.072,4.182,100.0,9965.0
2011-09-29,4.182,4.182,4.182,4.182,0.0,10986.0
2011-09-30,4.014,4.072,4.014,4.014,32030.0,10986.0
2011-10-03,4.014,4.014,4.014,4.014,0.0,10880.0
2011-10-04,4.014,4.014,4.014,4.014,250.0,10879.0
2011-10-05,4.014,4.072,4.014,4.072,5450.0,10772.0
2011-10-06,4.124,4.124,4.124,4.124,10.0,10666.0
2011-10-07,4.124,4.124,4.124,4.124,10.0,10559.0
2011-10-10,4.124,4.124,4.124,4.124,12220.0,10588.0
2011-10-11,4.124,4.124,4.124,4.124,15520.0,10610.0
2011-10-12,4.182,4.238,4.124,4.182,23270.0,10567.0
2011-10-13,4.182,4.182,4.124,4.182,25530.0,10675.0
2011-10-14,4.238,4.238,4.182,4.182,640.0,10804.0
2011-10-17,4.182,4.182,4.182,4.182,8630.0,10653.0
2011-10-18,4.238,4.238,4.124,4.238,2030.0,10588.0
2011-10-19,4.124,4.348,4.072,4.348,1540.0,10545.0
2011-10-20,4.516,4.516,4.238,4.404,15470.0,10523.0
2011-10-21,4.404,4.404,4.404,4.404,100.0,10718.0
2011-10-24,4.461,4.461,4.461,4.461,100.0,10437.0
2011-10-25,4.461,4.461,4.238,4.461,5710.0,10307.0
2011-10-26,4.461,4.461,4.461,4.461,1000.0,10480.0
2011-10-27,4.404,4.571,4.404,4.571,32800.0,10480.0
2011-10-28,4.571,4.571,4.571,4.571,30.0,10804.0
2011-10-31,4.404,4.404,4.404,4.404,1100.0,10696.0
2011-11-01,4.404,4.404,4.404,4.404,0.0,10610.0
2011-11-02,4.404,4.404,4.404,4.404,0.0,10740.0
2011-11-03,4.293,4.293,4.238,4.238,1510.0,10653.0
2011-11-04,4.238,4.293,4.238,4.293,2010.0,10782.0
2011-11-07,4.461,4.461,4.461,4.461,10.0,10760.0
2011-11-08,4.238,4.293,4.238,4.293,4750.0,10588.0
2011-11-09,4.461,4.461,4.461,4.461,2500.0,10544.0
2011-11-10,4.293,4.348,4.293,4.293,14130.0,10544.0
2011-11-11,4.182,4.404,4.182,4.404,910.0,10501.0
2011-11-14,4.404,4.404,4.404,4.404,0.0,10372.0
2011-11-15,4.404,4.404,4.404,4.404,0.0,10263.0
2011-11-16,4.238,4.238,4.238,4.238,10.0,10372.0
2011-11-17,4.404,4.404,4.404,4.404,1130.0,10415.0
2011-11-18,4.404,4.404,4.404,4.404,0.0,10415.0
2011-11-21,4.404,4.404,4.404,4.404,0.0,10415.0
2011-11-22,4.461,4.571,4.461,4.571,120.0,10501.0
2011-11-23,4.348,4.348,4.348,4.348,1000.0,10609.0
2011-11-24,4.348,4.348,4.348,4.348,0.0,10609.0
2011-11-25,4.461,4.461,4.348,4.348,60.0,10588.0
2011-11-28,4.348,4.348,4.348,4.348,0.0,10544.0
2011-11-29,4.238,4.238,4.238,4.238,10.0,10544.0
2011-11-30,4.124,4.404,4.124,4.404,20.0,10609.0
2011-12-01,4.571,4.571,4.238,4.238,2200.0,10631.0
2011-12-02,4.404,4.404,4.404,4.404,4150.0,10652.0
2011-12-05,4.404,4.404,4.404,4.404,0.0,10804.0
2011-12-06,4.293,4.571,4.293,4.571,20.0,10804.0
2011-12-07,4.348,4.348,4.348,4.348,3010.0,10804.0
2011-12-08,4.348,4.348,4.348,4.348,0.0,10760.0
2011-12-09,4.461,4.461,4.461,4.461,10.0,10695.0
2011-12-12,4.461,4.461,4.461,4.461,0.0,10695.0
2011-12-13,4.238,4.238,4.238,4.238,800.0,10674.0
2011-12-14,4.404,4.404,4.404,4.404,3510.0,10587.0
2011-12-15,4.516,4.516,4.516,4.516,10.0,10501.0
2011-12-16,4.404,4.404,4.404,4.404,10.0,10587.0
2011-12-19,4.238,4.238,4.238,4.238,3550.0,10695.0
2011-12-20,4.404,4.404,4.124,4.348,540.0,10695.0
2011-12-21,4.461,4.461,4.182,4.182,13200.0,10695.0
2011-12-22,4.348,4.348,4.348,4.348,10.0,10695.0
2011-12-23,4.461,4.461,4.461,4.461,10.0,10587.0
2011-12-26,4.461,4.461,4.461,4.461,0.0,10566.0
