timestamp,open,high,low,close,volume,MarketCapital
2008-11-03,4.164,5.861,3.78,4.164,117200.0,7345.0
2008-11-04,4.33,4.33,4.164,4.33,31500.0,7674.0
2008-11-05,4.569,4.569,4.569,4.569,28000.0,8051.0
2008-11-06,4.88,4.88,4.785,4.88,64300.0,8380.0
2008-11-07,4.858,5.19,4.52,5.19,81100.0,8616.0
2008-11-10,5.407,5.407,5.407,5.407,5500.0,9039.0
2008-11-11,5.762,5.762,5.622,5.762,160500.0,8616.0
2008-11-12,6.148,6.148,5.622,6.148,101200.0,8192.0
2008-11-13,6.529,6.529,6.148,6.529,104700.0,8121.0
2008-11-14,6.984,6.984,6.074,6.529,113300.0,8474.0
2008-11-17,6.195,6.219,6.195,6.195,29300.0,8192.0
2008-11-18,5.762,5.762,5.762,5.762,400.0,7980.0
2008-11-19,5.381,5.719,5.381,5.43,92200.0,7768.0
2008-11-20,5.069,5.168,5.047,5.047,32900.0,7415.0
2008-11-21,4.735,5.141,4.735,5.141,47600.0,7133.0
2008-11-24,5.069,5.069,4.685,4.785,17800.0,7415.0
2008-11-25,5.024,5.024,4.785,4.903,5400.0,7556.0
2008-11-26,4.569,4.569,4.546,4.546,8400.0,7203.0
2008-11-27,4.52,4.52,4.235,4.235,6500.0,6850.0
2008-11-28,4.52,4.546,4.353,4.546,52200.0,7133.0
2008-12-01,4.546,4.592,4.186,4.498,9400.0,7415.0
2008-12-02,4.209,4.425,4.209,4.235,22300.0,7062.0
2008-12-03,4.402,4.402,4.281,4.308,9600.0,7133.0
2008-12-04,4.308,4.308,4.281,4.308,13700.0,7133.0
2008-12-05,4.209,4.209,4.02,4.065,24600.0,6907.0
2008-12-08,4.041,4.041,3.78,3.78,31400.0,6568.0
2008-12-09,3.659,3.659,3.541,3.587,18000.0,6878.0
2008-12-10,3.375,3.563,3.325,3.325,21000.0,6681.0
2008-12-11,3.492,3.541,3.469,3.541,30000.0,6808.0
2008-12-12,3.754,3.78,3.709,3.78,40900.0,7133.0
2008-12-15,3.947,3.996,3.754,3.78,16100.0,7486.0
2008-12-16,3.637,3.853,3.587,3.587,4700.0,7133.0
2008-12-17,3.514,3.659,3.514,3.514,69600.0,7415.0
2008-12-18,3.253,3.253,3.232,3.232,21400.0,7415.0
2008-12-19,3.232,3.397,3.016,3.397,54200.0,7415.0
2008-12-22,3.325,3.325,3.325,3.325,59700.0,7274.0
2008-12-23,3.541,3.541,3.375,3.541,34100.0,7006.0
2008-12-24,3.469,3.469,3.348,3.469,20200.0,6921.0
2008-12-25,3.348,3.348,3.232,3.253,15600.0,6921.0
2008-12-26,3.253,3.253,3.108,3.232,8800.0,6855.0
2008-12-29,3.203,3.203,3.158,3.182,8900.0,6841.0
2008-12-30,3.158,3.232,3.158,3.203,12700.0,7108.0
2008-12-31,3.182,3.182,3.063,3.108,17000.0,7038.0
2009-01-02,3.108,3.304,3.087,3.304,20800.0,7038.0
2009-01-05,3.232,3.397,3.232,3.397,46500.0,7038.0
2009-01-06,3.514,3.514,3.397,3.492,24700.0,7249.0
