timestamp,open,high,low,close,volume,MarketCapital
2008-09-17,12.318,12.318,12.318,12.318,27960.0,8061.0
2008-09-18,11.722,11.722,11.722,11.722,20.0,7688.0
2008-09-19,11.226,12.218,11.226,11.722,152680.0,8061.0
2008-09-22,12.218,12.218,12.117,12.218,71690.0,8434.0
2008-09-23,11.621,11.621,11.621,11.621,67410.0,8760.0
2008-09-24,11.621,11.621,11.324,11.621,33000.0,8434.0
2008-09-25,11.719,12.117,11.621,12.117,36430.0,8853.0
2008-09-26,12.714,12.714,12.415,12.714,85110.0,9273.0
2008-09-29,12.218,13.013,12.218,12.318,11680.0,8946.0
2008-09-30,11.722,11.722,11.722,11.722,7640.0,8527.0
2008-10-01,11.719,12.218,11.224,11.82,27920.0,8667.0
2008-10-02,11.918,12.117,11.621,12.117,29650.0,8853.0
2008-10-03,12.315,12.315,11.918,12.117,6390.0,8527.0
2008-10-06,11.719,11.719,11.521,11.521,37980.0,8108.0
2008-10-07,11.024,11.024,11.024,11.024,32950.0,7735.0
2008-10-08,10.63,11.423,10.63,11.423,12040.0,7362.0
2008-10-09,11.125,11.423,11.024,11.024,13670.0,7036.0
2008-10-10,10.529,10.529,10.529,10.529,19630.0,6710.0
2008-10-13,11.024,11.024,10.031,10.031,25760.0,6384.0
2008-10-14,10.529,10.529,10.529,10.529,6450.0,6663.0
2008-10-15,11.024,11.024,10.927,11.024,39280.0,6989.0
2008-10-16,10.627,10.927,10.627,10.927,6940.0,7083.0
2008-10-17,10.627,11.321,10.627,11.224,30250.0,7269.0
2008-10-20,11.321,11.321,10.927,10.927,25300.0,6943.0
2008-10-21,11.024,11.024,10.627,10.627,22240.0,7269.0
2008-10-22,10.33,10.529,10.232,10.529,10920.0,7129.0
2008-10-23,10.031,10.131,10.031,10.031,24540.0,6803.0
2008-10-24,9.345,9.345,9.345,9.345,15100.0,6477.0
2008-10-27,8.893,8.893,8.893,8.893,810.0,6197.0
2008-10-28,8.462,8.583,8.462,8.462,16300.0,6058.0
2008-10-29,8.985,9.011,8.719,8.985,32860.0,6337.0
2008-10-30,8.462,8.819,8.415,8.415,12450.0,6617.0
2008-10-31,8.654,8.654,8.009,8.009,18930.0,7015.0
2008-11-03,7.773,8.105,7.629,7.725,42590.0,7345.0
2008-11-04,7.556,8.105,7.438,8.105,64120.0,7674.0
2008-11-05,8.509,8.509,8.488,8.509,110030.0,8051.0
2008-11-06,8.344,8.916,8.344,8.797,67420.0,8380.0
2008-11-07,8.367,8.724,8.367,8.367,19470.0,8616.0
2008-11-10,8.415,8.558,8.367,8.558,50100.0,9039.0
2008-11-11,8.344,8.344,8.152,8.344,49890.0,8616.0
2008-11-12,7.939,8.319,7.939,8.271,58300.0,8192.0
2008-11-13,8.223,8.462,8.223,8.344,24400.0,8121.0
2008-11-14,8.391,8.462,8.391,8.391,26950.0,8474.0
2008-11-17,8.344,8.344,8.105,8.13,5750.0,8192.0
2008-11-18,7.914,7.987,7.725,7.725,31130.0,7980.0
2008-11-19,7.725,7.725,7.486,7.629,27450.0,7768.0
2008-11-20,7.272,7.39,7.247,7.272,17710.0,7415.0
2008-11-21,6.937,7.151,6.915,6.915,10280.0,7133.0
2008-11-24,7.176,7.176,6.579,6.579,13050.0,7415.0
2008-11-25,6.676,6.676,6.269,6.318,27660.0,7556.0
2008-11-26,6.174,6.484,6.174,6.34,14800.0,7203.0
2008-11-27,6.414,6.437,6.245,6.245,8970.0,6850.0
2008-11-28,6.555,6.555,6.555,6.555,10240.0,7133.0
2008-12-01,6.627,6.627,6.555,6.579,19870.0,7415.0
2008-12-02,6.293,6.579,6.293,6.532,1310.0,7062.0
2008-12-03,6.366,6.532,6.366,6.461,13500.0,7133.0
2008-12-04,6.555,6.555,6.461,6.555,3490.0,7133.0
2008-12-05,6.437,6.437,6.245,6.245,24880.0,6907.0
2008-12-08,5.96,5.96,5.935,5.935,8310.0,6568.0
2008-12-09,5.744,6.174,5.722,5.865,40850.0,6878.0
2008-12-10,5.769,6.149,5.769,6.149,18800.0,6681.0
2008-12-11,6.366,6.437,6.318,6.437,31750.0,6808.0
2008-12-12,6.746,6.746,6.676,6.746,39270.0,7133.0
2008-12-15,7.033,7.08,6.723,7.056,42440.0,7486.0
2008-12-16,6.915,6.915,6.723,6.723,6550.0,7133.0
2008-12-17,6.602,6.819,6.555,6.771,30030.0,7415.0
2008-12-18,6.771,7.033,6.698,7.033,35560.0,7415.0
2008-12-19,7.368,7.368,7.151,7.368,23410.0,7415.0
2008-12-22,7.725,7.725,7.652,7.699,32680.0,7274.0
2008-12-23,7.413,7.413,7.319,7.319,19430.0,7006.0
2008-12-24,6.985,7.319,6.985,7.319,23210.0,6921.0
2008-12-25,7.556,7.556,7.08,7.272,4230.0,6921.0
2008-12-26,7.151,7.272,7.151,7.151,14240.0,6855.0
2008-12-29,7.176,7.295,7.176,7.295,6330.0,6841.0
2008-12-30,7.39,7.508,7.247,7.508,35640.0,7108.0
2008-12-31,7.508,7.581,7.39,7.508,11700.0,7038.0
2009-01-02,7.319,7.508,7.319,7.508,2720.0,7038.0
2009-01-05,7.581,7.581,7.508,7.533,17350.0,7038.0
2009-01-06,7.725,7.725,7.533,7.699,40870.0,7249.0
2009-01-07,7.748,7.914,7.748,7.914,23290.0,7482.0
2009-01-08,7.652,7.748,7.581,7.581,19040.0,7270.0
2009-01-09,7.581,7.748,7.581,7.748,6640.0,7129.0
2009-01-12,7.748,7.748,7.699,7.699,2230.0,7129.0
2009-01-13,7.46,7.533,7.368,7.46,24500.0,7044.0
2009-01-14,7.176,7.581,7.176,7.533,22180.0,7199.0
2009-01-15,7.46,7.629,7.46,7.508,5750.0,7058.0
2009-01-16,7.508,7.508,7.413,7.413,6530.0,7129.0
2009-01-19,7.413,7.677,7.413,7.677,32690.0,7129.0
2009-01-20,7.629,7.629,7.533,7.629,3060.0,7044.0
2009-01-21,7.508,7.629,7.508,7.629,15780.0,7016.0
2009-01-22,7.677,7.795,7.677,7.795,4770.0,7129.0
2009-01-23,7.795,7.866,7.699,7.866,8260.0,7129.0
2009-02-02,7.961,7.961,7.652,7.748,12370.0,6846.0
2009-02-03,7.748,7.748,7.652,7.677,23600.0,6578.0
2009-02-04,7.844,7.844,7.748,7.748,3150.0,6705.0
2009-02-05,7.961,7.961,7.629,7.748,7940.0,6564.0
2009-02-06,7.844,7.844,7.773,7.818,17970.0,6705.0
2009-02-09,7.866,8.105,7.866,8.105,19470.0,6959.0
2009-02-10,8.152,8.152,7.818,7.818,1070.0,6776.0
2009-02-11,7.748,7.866,7.748,7.844,35770.0,6649.0
2009-02-12,7.748,7.866,7.748,7.748,22840.0,6635.0
2009-02-13,7.866,7.866,7.818,7.818,210.0,6578.0
2009-02-16,7.629,7.818,7.629,7.652,17630.0,6395.0
2009-02-17,7.413,7.629,7.413,7.438,35900.0,6084.0
2009-02-18,7.151,7.151,7.08,7.151,47990.0,5929.0
