timestamp,open,high,low,close,volume,MarketCapital
2013-07-26,3.805,4.321,3.772,4.251,1223000.0,11803.0
2013-07-29,4.286,4.527,3.805,4.423,846600.0,11610.0
2013-07-30,4.423,4.766,4.389,4.595,1243300.0,11830.0
2013-07-31,4.595,4.834,4.183,4.492,1590100.0,11830.0
2013-08-01,4.492,4.561,4.217,4.321,665900.0,11803.0
2013-08-02,4.286,4.527,3.943,4.492,555000.0,11885.0
2013-08-05,4.458,4.492,4.08,4.354,666200.0,12243.0
2013-08-06,4.389,4.423,4.286,4.354,697900.0,12435.0
2013-08-07,4.423,4.766,4.389,4.766,906200.0,12738.0
2013-08-08,4.766,4.972,4.664,4.834,1285500.0,12435.0
2013-08-09,4.938,5.177,4.8,4.869,1208700.0,12545.0
2013-08-12,4.869,4.938,4.732,4.938,1225800.0,12490.0
2013-08-13,4.972,5.246,4.972,5.143,1451900.0,12518.0
2013-08-14,5.143,5.349,5.006,5.349,1474200.0,12573.0
2013-08-15,5.487,5.659,5.315,5.452,1436700.0,12600.0
2013-08-16,5.417,5.625,5.315,5.521,1018500.0,12655.0
2013-08-19,5.589,5.932,5.521,5.863,1743300.0,12958.0
2013-08-20,5.932,6.0,5.452,5.521,1277000.0,12876.0
2013-08-21,5.452,5.555,5.315,5.555,837700.0,12766.0
2013-08-22,5.555,5.555,5.383,5.452,731600.0,12490.0
2013-08-23,5.417,5.521,5.246,5.315,641300.0,12298.0
2013-08-26,5.28,5.487,5.246,5.487,647200.0,12270.0
2013-08-27,5.487,5.487,5.383,5.383,464600.0,12215.0
2013-08-28,5.383,5.383,5.143,5.28,624600.0,11775.0
2013-08-29,5.28,5.349,5.143,5.28,690000.0,11720.0
2013-08-30,5.28,5.28,5.177,5.28,418100.0,11858.0
2013-09-03,5.28,5.315,5.213,5.28,449300.0,11775.0
2013-09-04,5.28,5.383,5.246,5.383,604700.0,11803.0
2013-09-05,5.417,5.555,5.417,5.487,817200.0,12023.0
2013-09-06,5.487,5.521,5.383,5.383,779300.0,12188.0
2013-09-09,5.349,5.383,5.246,5.28,511000.0,11885.0
2013-09-10,5.28,5.349,5.28,5.349,416900.0,11968.0
2013-09-11,5.315,5.383,5.28,5.28,518600.0,11913.0
2013-09-12,5.246,5.349,5.246,5.315,401800.0,11830.0
2013-09-13,5.315,5.417,5.246,5.28,403400.0,11775.0
2013-09-16,5.28,5.383,5.246,5.28,555800.0,11748.0
2013-09-17,5.28,5.487,5.246,5.452,707200.0,11803.0
2013-09-18,5.452,5.487,5.383,5.417,649200.0,11913.0
2013-09-19,5.454,5.562,5.454,5.562,758300.0,11940.0
2013-09-20,5.526,5.671,5.454,5.671,850100.0,11968.0
2013-09-23,5.671,5.888,5.671,5.779,1299100.0,12215.0
2013-09-24,5.851,6.356,5.815,6.356,1865400.0,12435.0
2013-09-25,6.465,6.465,5.996,6.031,1322900.0,12325.0
2013-09-26,5.996,6.031,5.671,5.706,1411600.0,12435.0
2013-09-27,5.562,5.779,5.526,5.706,1064700.0,12380.0
2013-09-30,5.634,5.706,5.49,5.634,1293900.0,12408.0
2013-10-01,5.49,5.634,5.454,5.526,904600.0,12325.0
2013-10-02,5.526,5.779,5.526,5.742,1011200.0,12408.0
2013-10-03,5.779,5.815,5.599,5.671,771300.0,12325.0
2013-10-04,5.599,5.742,5.49,5.742,864100.0,12545.0
2013-10-07,5.779,5.888,5.742,5.888,913400.0,12683.0
2013-10-08,5.924,6.104,5.851,6.031,790100.0,12628.0
2013-10-09,5.96,6.068,5.815,6.031,744800.0,12573.0
2013-10-10,5.996,6.068,5.851,5.924,629000.0,12408.0
