timestamp,open,high,low,close,volume,MarketCapital
2017-02-27,10.11,10.11,10.11,10.11,8330.0,21382.0
2017-02-28,10.784,10.784,10.784,10.784,460.0,21061.0
2017-03-01,11.5,11.5,11.5,11.5,880.0,20992.0
2017-03-02,12.301,12.301,12.301,12.301,840.0,20877.0
2017-03-03,12.638,13.143,12.638,13.143,490.0,20969.0
2017-03-06,14.028,14.028,14.028,14.028,120.0,21107.0
2017-03-07,14.997,14.997,14.997,14.997,370.0,21038.0
2017-03-08,16.008,16.008,16.008,16.008,3510.0,21038.0
2017-03-09,17.103,17.103,17.103,17.103,900.0,20900.0
2017-03-10,18.283,18.283,18.283,18.283,420.0,21130.0
2017-03-13,19.546,19.546,19.546,19.546,1560.0,21015.0
2017-03-14,20.894,20.894,20.894,20.894,120.0,20992.0
2017-03-15,22.327,22.327,22.327,22.327,440.0,20923.0
2017-03-16,23.885,23.885,23.885,23.885,720.0,20992.0
2017-03-17,25.528,25.528,25.528,25.528,1750.0,21084.0
2017-03-20,27.298,27.298,27.298,27.298,1310.0,21405.0
2017-03-21,29.193,29.193,29.193,29.193,1970.0,21405.0
2017-03-22,31.215,31.215,31.215,31.215,2440.0,21176.0
2017-03-23,33.364,33.364,31.257,31.595,54520.0,22049.0
2017-03-24,31.595,31.595,29.404,29.488,2770.0,21911.0
2017-03-27,29.488,29.488,27.424,27.424,600.0,21865.0
2017-03-28,25.528,25.528,25.528,25.528,40.0,21773.0
2017-03-29,23.759,23.759,23.759,23.759,10.0,21819.0
2017-03-30,22.116,22.116,22.116,22.116,50.0,21635.0
2017-03-31,20.6,20.6,20.6,20.6,2850.0,21727.0
2017-04-03,20.6,20.6,20.6,20.6,0.0,21314.0
2017-04-04,19.167,19.167,19.167,19.167,300.0,21589.0
2017-04-05,17.861,17.861,17.861,17.861,490.0,21489.0
2017-04-07,16.64,16.64,16.64,16.64,10.0,21697.0
2017-04-10,16.64,16.64,16.64,16.64,0.0,21697.0
2017-04-11,15.502,15.502,15.502,15.502,130.0,21674.0
2017-04-12,14.449,15.502,14.449,15.502,6390.0,21951.0
2017-04-13,14.449,16.556,14.449,16.513,2440.0,21813.0
2017-04-14,15.376,17.609,15.376,16.008,6540.0,21259.0
2017-04-17,16.85,16.85,14.913,14.913,1070.0,21097.0
2017-04-18,13.902,14.323,13.902,14.323,3240.0,21235.0
2017-04-19,15.081,15.081,13.354,13.354,11020.0,21235.0
2017-04-20,13.059,14.239,13.059,13.649,660.0,21166.0
2017-04-21,13.902,14.491,12.806,12.806,860.0,21166.0
2017-04-24,11.964,13.396,11.922,13.312,1750.0,21120.0
2017-04-25,13.059,13.059,12.385,13.059,4490.0,21074.0
2017-04-26,12.217,12.975,12.217,12.217,120.0,21235.0
2017-04-27,11.374,11.374,11.374,11.374,4070.0,21466.0
2017-04-28,11.374,11.711,10.616,11.711,480.0,21443.0
2017-05-03,12.427,12.511,12.385,12.511,1260.0,21697.0
2017-05-04,13.354,13.354,13.354,13.354,510.0,21697.0
2017-05-05,14.281,14.281,14.281,14.281,5370.0,21743.0
2017-05-08,15.25,15.25,14.576,14.576,10140.0,21697.0
2017-05-09,14.576,15.587,14.576,15.587,8630.0,22297.0
2017-05-10,16.598,16.64,16.598,16.64,8290.0,22205.0
2017-05-11,17.777,17.777,17.777,17.777,2610.0,22205.0
2017-05-12,18.999,18.999,18.999,18.999,5070.0,22159.0
2017-05-15,20.305,20.305,20.305,20.305,3670.0,22066.0
2017-05-16,21.695,21.695,21.695,21.695,810.0,21928.0
2017-05-17,23.211,23.211,20.178,20.178,10430.0,22066.0
2017-05-18,18.788,18.788,18.788,18.788,710.0,22113.0
2017-05-19,17.482,17.482,17.482,17.482,10.0,22343.0
2017-05-22,16.261,16.261,16.261,16.261,210.0,22390.0
2017-05-23,15.123,15.123,15.123,15.123,210.0,22551.0
2017-05-24,14.07,16.176,14.07,16.176,13350.0,22667.0
2017-05-25,17.272,17.272,16.176,16.176,8320.0,19666.0
2017-05-26,17.272,17.272,16.85,16.85,1250.0,19435.0
2017-05-29,15.671,17.693,15.671,15.671,11810.0,19666.0
2017-05-30,14.576,14.66,14.576,14.576,8960.0,19851.0
2017-05-31,13.649,15.587,13.565,13.565,27480.0,19851.0
2017-06-01,12.806,13.059,12.638,12.891,49290.0,20058.0
2017-06-02,12.638,13.775,12.638,12.891,20430.0,19966.0
2017-06-05,13.649,13.691,12.554,12.638,11300.0,19966.0
2017-06-06,13.228,13.228,12.469,12.469,9410.0,20451.0
2017-06-07,13.017,13.017,12.469,12.638,8940.0,20335.0
2017-06-08,13.017,13.017,12.469,12.806,7810.0,20405.0
2017-06-09,12.469,12.722,12.385,12.554,8810.0,20843.0
2017-06-12,12.722,12.722,12.469,12.554,2220.0,20635.0
2017-06-13,12.554,12.554,12.217,12.469,2210.0,20935.0
2017-06-14,12.638,12.638,11.795,12.048,3040.0,20866.0
2017-06-15,12.385,12.385,11.374,11.711,8220.0,20958.0
2017-06-16,12.132,12.132,12.132,12.132,20.0,21097.0
2017-06-19,12.217,12.975,12.174,12.638,27490.0,21374.0
2017-06-20,12.891,13.059,12.806,12.806,1150.0,21305.0
2017-06-21,12.806,13.059,12.638,12.975,2950.0,21928.0
2017-06-22,13.48,13.48,12.638,13.059,300.0,21974.0
2017-06-23,13.059,13.059,12.217,12.891,1080.0,21905.0
2017-06-26,12.891,12.891,12.806,12.891,80.0,21559.0
2017-06-27,12.975,13.017,12.891,12.891,800.0,21097.0
2017-06-28,12.891,12.891,12.048,12.806,3520.0,21397.0
2017-06-29,11.964,12.469,11.922,12.469,70.0,21466.0
2017-06-30,12.469,12.638,11.795,12.385,4790.0,21628.0
2017-07-03,12.638,13.143,12.596,12.638,1220.0,21420.0
2017-07-04,12.975,12.975,11.795,12.722,440.0,24739.0
2017-07-05,11.964,12.554,11.964,12.554,1150.0,24792.0
2017-07-06,12.554,12.554,11.795,11.795,3090.0,25429.0
2017-07-07,11.795,12.469,11.206,12.469,150.0,25801.0
2017-07-10,12.554,12.554,11.627,12.385,5070.0,25588.0
2017-07-11,12.385,12.385,12.385,12.385,10.0,25270.0
2017-07-12,11.795,12.217,11.711,11.88,2820.0,25456.0
2017-07-13,12.217,12.217,11.374,11.374,1460.0,25933.0
2017-07-14,12.048,12.048,10.784,11.964,100.0,25854.0
2017-07-17,11.163,11.374,11.163,11.374,4720.0,25482.0
2017-07-18,10.616,11.795,10.616,11.795,140.0,25376.0
