timestamp,open,high,low,close,volume,MarketCapital
2009-11-17,8.155,8.155,8.155,8.155,213340.0,11866.0
2009-11-18,8.542,8.542,8.335,8.362,71640.0,11938.0
2009-11-19,7.953,8.133,7.953,7.953,31280.0,12082.0
2009-11-20,7.569,7.569,7.569,7.569,17680.0,12082.0
2009-11-23,7.205,7.205,7.205,7.205,3190.0,11794.0
2009-11-24,6.864,7.022,6.864,6.864,109190.0,11507.0
2009-11-25,6.526,6.548,6.526,6.526,44130.0,10931.0
2009-11-26,6.208,6.208,6.208,6.208,1710.0,10428.0
2009-11-27,6.208,6.5,5.913,5.913,105290.0,10931.0
2009-11-30,5.913,5.913,5.617,5.617,50890.0,11435.0
2009-12-01,5.778,5.889,5.686,5.889,24500.0,11435.0
2009-12-02,6.004,6.004,5.889,5.981,21810.0,11219.0
2009-12-03,5.981,5.981,5.686,5.913,18200.0,10931.0
2009-12-04,5.958,5.958,5.617,5.889,13990.0,10931.0
2009-12-07,5.664,5.869,5.596,5.596,13870.0,11147.0
2009-12-08,5.345,5.345,5.323,5.323,30590.0,11003.0
2009-12-09,5.074,5.303,5.074,5.303,2100.0,10572.0
2009-12-10,5.303,5.303,5.053,5.303,10850.0,10500.0
2009-12-11,5.053,5.098,5.053,5.053,5330.0,10356.0
2009-12-14,4.803,5.303,4.803,5.256,10590.0,10644.0
2009-12-15,5.212,5.416,5.007,5.053,101280.0,10715.0
2009-12-16,5.165,5.165,4.936,5.144,12090.0,10356.0
2009-12-17,4.936,5.098,4.894,5.007,17280.0,10068.0
2009-12-18,5.053,5.256,5.053,5.256,8970.0,9637.0
2009-12-21,5.484,5.505,5.46,5.505,21770.0,10068.0
2009-12-22,5.437,5.46,4.984,5.46,14550.0,10572.0
2009-12-23,5.234,5.437,5.212,5.437,5940.0,11075.0
2009-12-24,5.212,5.639,5.165,5.639,11090.0,11363.0
2009-12-25,5.639,5.913,5.639,5.913,86680.0,11650.0
2009-12-28,6.208,6.208,5.934,6.208,115920.0,11363.0
2009-12-29,6.208,6.346,6.208,6.23,29390.0,11075.0
2009-12-30,6.028,6.252,6.028,6.23,18910.0,11219.0
2009-12-31,6.118,6.276,5.934,5.934,28700.0,11363.0
2010-01-04,5.934,6.073,5.889,5.934,54110.0,11866.0
2010-01-05,5.934,5.934,5.639,5.639,54250.0,11866.0
2010-01-06,5.484,5.889,5.437,5.847,18720.0,11650.0
2010-01-07,5.686,5.847,5.617,5.617,26900.0,11578.0
2010-01-08,5.617,5.889,5.617,5.889,181880.0,11219.0
2010-01-11,5.733,5.889,5.686,5.889,36580.0,11147.0
2010-01-12,5.733,6.048,5.664,5.664,15140.0,10931.0
2010-01-13,5.639,5.664,5.484,5.664,10570.0,11291.0
2010-01-14,5.664,5.847,5.577,5.664,4600.0,11363.0
2010-01-15,5.664,5.664,5.549,5.549,7030.0,11147.0
2010-01-18,5.437,5.437,5.303,5.303,11200.0,10931.0
2010-01-19,5.303,5.437,5.303,5.345,7980.0,11147.0
2010-01-20,5.437,5.437,5.212,5.212,6250.0,11363.0
2010-01-21,5.212,5.212,4.965,4.965,17660.0,11219.0
2010-01-22,4.803,5.165,4.803,5.165,4660.0,11219.0
2010-01-25,5.393,5.393,5.369,5.369,210.0,11291.0
2010-01-26,5.323,5.369,5.323,5.369,7560.0,11650.0
2010-01-27,5.369,5.369,5.121,5.144,30970.0,11219.0
2010-01-28,5.256,5.256,4.965,5.256,5590.0,11219.0
2010-01-29,5.278,5.278,5.278,5.278,1030.0,11075.0
2010-02-01,5.303,5.303,5.027,5.053,4680.0,11219.0
2010-02-02,5.053,5.053,4.873,4.873,5170.0,11650.0
2010-02-03,4.984,5.098,4.984,5.098,6650.0,12154.0
2010-02-04,5.212,5.345,5.212,5.345,1780.0,12154.0
2010-02-05,5.345,5.345,5.098,5.098,3460.0,11650.0
2010-02-08,4.894,5.188,4.894,5.188,3640.0,11938.0
2010-02-09,5.188,5.188,4.936,4.936,13220.0,11435.0
2010-02-10,4.984,5.165,4.756,5.165,4620.0,11794.0
2010-02-11,4.965,4.965,4.965,4.965,3890.0,12010.0
2010-02-12,4.984,5.007,4.984,5.007,4930.0,12082.0
2010-02-22,5.212,5.212,5.212,5.212,1720.0,12010.0
2010-02-23,5.212,5.212,5.212,5.212,920.0,11578.0
2010-02-24,5.212,5.212,5.212,5.212,3870.0,11578.0
2010-02-25,4.965,5.393,4.965,5.212,910.0,11578.0
2010-02-26,4.984,5.212,4.984,5.212,6540.0,11219.0
2010-03-01,4.984,5.188,4.984,5.188,1750.0,11507.0
