timestamp,open,high,low,close,volume,MarketCapital
2018-03-21,14.089,14.089,9.205,10.239,515800.0,32384.0
2018-03-22,10.332,10.614,9.581,10.239,260800.0,31906.0
2018-03-23,9.956,9.956,9.393,9.862,111800.0,31109.0
2018-03-26,9.581,9.862,9.581,9.674,267800.0,31428.0
2018-03-27,10.144,10.332,9.862,10.239,52200.0,31587.0
2018-03-28,10.239,11.083,10.144,10.802,139800.0,31269.0
2018-03-29,10.99,11.553,10.708,11.178,587200.0,31587.0
2018-03-30,11.647,12.211,10.614,11.553,540800.0,32224.0
2018-04-02,11.741,12.211,11.741,12.117,348000.0,32649.0
2018-04-03,12.117,12.211,11.741,11.835,421300.0,32490.0
2018-04-04,12.023,12.023,11.271,11.271,216100.0,32755.0
2018-04-05,11.459,11.647,10.52,10.614,166200.0,33445.0
2018-04-06,11.083,11.083,10.332,10.426,165600.0,33286.0
2018-04-09,10.144,10.144,9.956,10.144,78200.0,33658.0
2018-04-10,9.956,10.52,9.862,10.426,102000.0,34189.0
2018-04-11,10.144,10.52,9.769,9.956,332300.0,33445.0
2018-04-12,9.956,10.239,9.769,10.239,192400.0,33764.0
2018-04-13,10.332,10.332,9.956,9.956,81100.0,32914.0
2018-04-16,9.956,10.051,9.862,9.862,102600.0,32437.0
2018-04-17,9.769,10.144,9.769,10.144,159800.0,32914.0
2018-04-18,10.144,10.239,9.956,10.051,83800.0,32914.0
2018-04-19,9.956,10.051,9.769,10.051,165400.0,32224.0
2018-04-20,9.956,10.051,9.769,9.956,76100.0,32706.0
2018-04-23,9.956,9.956,9.581,9.956,211500.0,30945.0
2018-04-24,9.393,9.769,9.393,9.674,21100.0,30091.0
2018-04-26,9.581,9.674,9.393,9.393,102600.0,29344.0
2018-04-27,9.581,9.674,9.393,9.486,82200.0,30411.0
2018-05-02,9.393,9.393,9.393,9.393,59200.0,30411.0
2018-05-03,10.051,10.051,9.393,9.862,56200.0,30945.0
2018-05-04,9.393,9.769,9.393,9.674,5500.0,31372.0
2018-05-07,9.674,9.769,9.393,9.486,130900.0,31799.0
2018-05-08,9.393,9.674,9.299,9.393,98300.0,31478.0
2018-05-09,9.393,9.486,9.299,9.486,166300.0,31158.0
2018-05-10,9.299,9.581,9.205,9.393,122500.0,31105.0
2018-05-11,9.393,9.393,9.205,9.299,155800.0,31745.0
2018-05-14,9.299,9.299,9.017,9.299,122000.0,32866.0
2018-05-15,9.299,9.393,9.111,9.393,111100.0,32759.0
2018-05-16,9.205,9.205,9.205,9.205,39000.0,32279.0
2018-05-17,9.299,9.393,9.205,9.205,73100.0,32332.0
2018-05-18,9.393,9.393,9.299,9.393,67100.0,32439.0
2018-05-21,9.299,9.393,9.299,9.299,144400.0,32546.0
2018-05-22,9.393,9.393,9.205,9.205,212200.0,31852.0
2018-05-23,9.205,9.205,8.923,8.923,87700.0,32332.0
2018-05-24,9.017,9.111,8.923,9.017,42700.0,31745.0
2018-05-25,9.017,9.111,8.83,8.83,33000.0,26090.0
2018-05-28,8.83,8.923,8.265,8.36,194500.0,24276.0
2018-05-29,8.265,8.547,8.265,8.36,48100.0,25289.0
2018-05-30,8.265,8.265,7.984,7.984,204200.0,24249.0
2018-05-31,8.172,8.36,8.172,8.36,70800.0,24543.0
2018-06-01,8.265,8.36,8.172,8.265,48200.0,24783.0
2018-06-04,8.265,8.454,8.172,8.265,52900.0,25209.0
2018-06-05,8.265,8.265,7.89,7.89,201900.0,25503.0
2018-06-06,7.984,7.984,7.89,7.89,187800.0,25876.0
2018-06-07,7.89,8.265,7.89,8.265,144800.0,29328.0
2018-06-08,7.984,7.984,7.796,7.89,136900.0,29420.0
2018-06-11,7.89,7.984,7.89,7.89,60400.0,29144.0
2018-06-12,7.89,7.89,7.702,7.796,112600.0,28408.0
2018-06-13,7.796,7.89,7.796,7.89,33700.0,28714.0
2018-06-14,7.796,7.796,7.138,7.514,182100.0,28592.0
2018-06-15,7.608,7.608,7.514,7.514,95300.0,28530.0
2018-06-18,7.514,7.514,6.763,7.514,106100.0,27855.0
