timestamp,open,high,low,close,volume,MarketCapital
2006-12-13,5.719,5.719,5.651,5.651,68410.0,24324.0
2006-12-14,5.568,5.568,5.517,5.568,83460.0,25540.0
2006-12-15,5.85,5.85,5.85,5.85,24600.0,26817.0
2006-12-18,6.126,6.126,6.126,6.126,80610.0,28155.0
2006-12-19,6.421,6.439,6.421,6.421,167800.0,29554.0
2006-12-20,6.405,6.405,6.093,6.093,68110.0,31013.0
2006-12-21,5.929,5.929,5.865,5.865,38580.0,29493.0
2006-12-22,5.865,5.865,5.651,5.651,38140.0,28034.0
2006-12-25,5.634,5.634,5.487,5.634,41510.0,26635.0
2006-12-26,5.735,5.814,5.735,5.735,33300.0,27912.0
2006-12-27,5.833,5.833,5.833,5.833,31620.0,29189.0
2006-12-28,5.833,5.833,5.833,5.833,31610.0,29189.0
2006-12-29,5.833,5.833,5.748,5.782,16050.0,27973.0
2007-01-02,5.782,5.833,5.782,5.833,9500.0,26757.0
2007-01-03,5.833,5.833,5.814,5.833,21910.0,27365.0
2007-01-04,5.916,5.995,5.916,5.995,49360.0,28702.0
2007-01-05,5.995,6.013,5.978,5.978,39270.0,30101.0
2007-01-08,5.978,5.995,5.833,5.833,43480.0,29797.0
2007-01-09,5.833,5.833,5.833,5.833,64690.0,29797.0
2007-01-10,5.833,5.916,5.833,5.916,62350.0,30101.0
2007-01-11,6.198,6.198,6.198,6.198,484950.0,30405.0
2007-01-12,6.497,6.497,6.497,6.497,358260.0,31925.0
2007-01-15,6.813,6.813,6.813,6.813,38310.0,33506.0
2007-01-16,7.146,7.146,7.146,7.146,12500.0,35148.0
2007-01-17,7.499,7.499,7.499,7.499,251740.0,33446.0
2007-01-18,7.865,7.865,7.865,7.865,267850.0,33506.0
2007-01-19,8.249,8.249,8.249,8.249,129870.0,35148.0
2007-01-22,8.581,8.581,8.581,8.581,165110.0,36486.0
2007-01-23,8.998,8.998,8.998,8.998,81670.0,36608.0
2007-01-24,9.416,9.416,9.416,9.416,28700.0,35270.0
2007-01-25,9.416,9.664,8.998,8.998,375820.0,35270.0
2007-01-26,9.163,9.416,9.163,9.416,562880.0,35270.0
2007-01-29,9.832,9.832,9.832,9.832,159690.0,36790.0
2007-01-30,10.25,10.25,10.25,10.25,37400.0,38310.0
2007-01-31,10.746,10.746,10.746,10.746,20400.0,39223.0
2007-02-01,11.247,11.247,11.247,11.247,217880.0,37702.0
2007-02-02,11.748,11.748,11.748,11.748,409490.0,38310.0
2007-02-05,11.748,11.748,11.163,11.163,163470.0,36425.0
2007-02-06,11.163,11.496,11.163,11.163,217940.0,38006.0
2007-02-07,11.167,11.331,11.082,11.247,222050.0,38614.0
2007-02-08,10.746,10.746,10.746,10.746,52480.0,36729.0
2007-02-09,10.751,11.082,10.498,11.082,235630.0,34905.0
2007-02-12,11.331,11.416,11.331,11.416,145450.0,36608.0
2007-02-13,11.496,11.665,11.496,11.496,98030.0,38310.0
2007-02-14,11.499,11.665,11.499,11.665,115230.0,37094.0
2007-02-15,11.665,11.834,11.665,11.834,104490.0,37094.0
2007-02-26,12.415,12.415,12.415,12.415,26640.0,38919.0
2007-02-27,12.999,12.999,12.999,12.999,24790.0,40439.0
2007-02-28,13.58,13.58,13.58,13.58,42370.0,38432.0
2007-03-01,14.246,14.246,14.246,14.246,60580.0,37398.0
2007-03-02,14.246,14.664,14.246,14.664,326180.0,39223.0
2007-03-05,15.331,15.331,15.331,15.331,64950.0,38614.0
2007-03-06,16.081,16.081,16.081,16.081,7340.0,36729.0
2007-03-07,16.663,16.831,16.663,16.831,10350.0,37094.0
2007-03-08,17.665,17.665,17.665,17.665,21240.0,36486.0
2007-03-09,18.499,18.499,18.499,18.499,62440.0,36486.0
2007-03-12,19.164,19.328,19.164,19.164,132140.0,37094.0
2007-03-13,18.663,18.663,18.33,18.33,194420.0,37094.0
2007-03-14,17.496,17.496,17.496,17.496,68320.0,35270.0
2007-03-15,16.831,16.831,16.663,16.663,25430.0,33506.0
2007-03-16,16.663,17.496,15.997,17.496,337670.0,35148.0
2007-03-19,18.33,18.33,18.33,18.33,166750.0,35148.0
2007-03-20,17.829,17.829,17.496,17.496,219660.0,34175.0
2007-03-21,16.663,16.663,16.663,16.663,184650.0,32533.0
2007-03-22,16.663,16.663,16.329,16.329,169820.0,33750.0
2007-03-23,16.165,16.165,15.58,15.58,119820.0,33750.0
2007-03-26,14.831,14.831,14.831,14.831,38920.0,32838.0
2007-03-27,14.166,14.166,14.166,14.166,47460.0,31196.0
2007-03-28,14.162,14.831,13.497,14.831,260970.0,31196.0
2007-03-29,15.496,15.496,15.496,15.496,14400.0,32716.0
2007-03-30,16.246,16.246,16.246,16.246,129070.0,32898.0
2007-04-02,15.496,15.496,15.496,15.496,43810.0,31621.0
2007-04-03,14.747,14.747,14.747,14.747,6560.0,30405.0
2007-04-04,14.328,14.328,14.082,14.328,239060.0,31256.0
2007-04-05,13.665,13.997,13.665,13.665,114690.0,31317.0
2007-04-06,13.665,13.665,13.665,13.665,109990.0,31013.0
2007-04-09,13.665,13.665,13.665,13.665,85850.0,31317.0
2007-04-10,13.665,13.745,13.665,13.665,57360.0,31682.0
2007-04-11,13.665,13.828,13.665,13.665,76030.0,31925.0
2007-04-12,12.999,13.331,12.999,12.999,51420.0,32838.0
2007-04-13,12.415,12.415,12.415,12.415,58960.0,31621.0
2007-04-16,11.834,11.834,11.834,11.834,16410.0,31925.0
2007-04-17,11.247,11.247,11.247,11.247,33820.0,31317.0
2007-04-18,11.496,11.748,11.496,11.748,167610.0,31621.0
2007-04-19,11.163,11.748,11.163,11.163,167610.0,30709.0
2007-04-20,11.163,11.163,11.163,11.163,53300.0,29189.0
2007-04-23,10.666,10.831,10.666,10.666,35040.0,27729.0
2007-04-24,10.498,10.498,10.165,10.498,91290.0,26392.0
2007-04-25,10.414,10.498,10.414,10.414,72030.0,25844.0
2007-05-02,10.25,10.414,10.25,10.25,69310.0,26331.0
2007-05-03,10.25,10.333,10.25,10.25,31170.0,26878.0
2007-05-04,10.165,10.33,10.165,10.165,47700.0,28216.0
2007-05-07,10.414,10.666,10.414,10.666,63720.0,29615.0
2007-05-08,10.998,11.082,10.998,11.082,114560.0,30405.0
2007-05-09,11.082,11.247,11.082,11.082,145030.0,30405.0
2007-05-10,11.416,11.58,11.416,11.58,131110.0,31925.0
2007-05-11,12.081,12.081,12.081,12.081,76560.0,33506.0
2007-05-14,12.662,12.662,12.662,12.662,13720.0,35148.0
2007-05-15,13.247,13.247,13.247,13.247,171810.0,33446.0
2007-05-16,12.662,12.662,12.662,12.662,167780.0,32351.0
2007-05-17,12.662,13.247,12.662,13.247,175130.0,33871.0
2007-05-18,13.247,13.665,13.247,13.247,159020.0,32898.0
2007-05-21,13.412,13.497,13.412,13.497,118500.0,22621.0
2007-05-22,13.997,14.082,13.997,14.082,165730.0,22621.0
2007-05-23,13.833,14.413,13.833,13.833,137590.0,22500.0
2007-05-24,13.163,13.497,13.163,13.163,65120.0,21892.0
2007-05-25,13.163,13.665,13.163,13.665,106880.0,21770.0
2007-05-28,13.497,13.828,13.497,13.497,79220.0,21709.0
2007-05-29,13.247,13.497,13.247,13.247,73170.0,21101.0
2007-05-30,13.247,13.247,13.247,13.247,76420.0,21284.0
2007-05-31,13.331,13.5,13.331,13.416,99350.0,21223.0
2007-06-01,13.416,13.416,13.163,13.163,86680.0,20980.0
2007-06-04,13.163,13.331,13.163,13.163,129080.0,20675.0
2007-06-05,13.163,13.163,12.999,12.999,110860.0,19642.0
2007-06-06,13.163,13.331,13.163,13.331,82590.0,20067.0
2007-06-07,13.665,13.828,13.665,13.665,124520.0,20554.0
2007-06-08,13.665,13.665,13.497,13.497,90840.0,20067.0
2007-06-11,13.247,13.247,13.163,13.163,58250.0,19459.0
2007-06-12,13.163,13.328,13.163,13.247,30110.0,19398.0
2007-06-13,13.331,13.331,13.331,13.331,40810.0,18608.0
2007-06-14,13.416,13.747,13.416,13.747,106700.0,18547.0
2007-06-15,14.166,14.413,14.166,14.413,240080.0,18851.0
