timestamp,open,high,low,close,volume,MarketCapital
2006-12-26,2.87,2.87,2.87,2.87,1000.0,27912.0
2006-12-27,2.995,2.995,2.995,2.995,500.0,29189.0
2006-12-28,3.141,3.141,3.141,3.141,1250.0,29189.0
2006-12-29,3.297,3.297,3.297,3.297,1000.0,27973.0
2007-01-02,3.463,3.463,3.463,3.463,1490.0,26757.0
2007-01-03,3.635,3.635,3.635,3.635,2500.0,27365.0
2007-01-04,3.813,3.813,3.813,3.813,2800.0,28702.0
2007-01-05,4.004,4.004,4.004,4.004,1460.0,30101.0
2007-01-08,4.183,4.183,4.183,4.183,4990.0,29797.0
2007-01-09,4.183,4.183,4.183,4.183,2980.0,29797.0
2007-01-10,4.225,4.225,4.225,4.225,0.0,30101.0
2007-01-11,4.183,4.183,3.979,3.979,530.0,30405.0
2007-01-12,3.782,3.782,3.782,3.782,1100.0,31925.0
2007-01-15,4.613,4.613,4.613,4.613,0.0,33506.0
2007-01-16,3.774,3.774,3.774,3.774,100.0,35148.0
2007-01-17,3.593,3.593,3.593,3.593,200.0,33446.0
2007-01-18,4.476,4.476,4.476,4.476,0.0,33506.0
2007-01-19,3.421,3.421,3.421,3.421,10.0,35148.0
2007-01-22,3.282,3.282,3.282,3.282,600.0,36486.0
2007-01-23,3.116,3.116,3.116,3.116,20.0,36608.0
2007-01-24,3.116,3.116,3.116,3.116,100.0,35270.0
2007-01-25,4.705,4.705,4.705,4.705,0.0,35270.0
2007-01-26,2.995,2.995,2.995,2.995,2840.0,35270.0
2007-01-29,2.953,2.953,2.848,2.848,580.0,36790.0
2007-01-30,2.383,2.383,2.36,2.36,7650.0,38310.0
2007-01-31,2.848,2.985,2.848,2.985,3990.0,39223.0
2007-02-01,3.119,3.134,3.119,3.134,3100.0,37702.0
2007-02-02,3.198,3.198,3.198,3.198,1290.0,38310.0
2007-02-05,3.198,3.198,3.198,3.198,5270.0,36425.0
2007-02-06,3.198,3.198,3.116,3.116,2930.0,38006.0
2007-02-07,3.198,3.198,3.198,3.198,7200.0,38614.0
2007-02-08,3.198,3.198,3.198,3.198,2500.0,36729.0
2007-02-09,3.198,3.354,3.198,3.198,4590.0,34905.0
2007-02-12,3.322,3.354,3.322,3.354,2700.0,36608.0
2007-02-13,3.52,3.52,3.52,3.52,10170.0,38310.0
2007-02-14,3.52,3.682,3.52,3.682,4050.0,37094.0
2007-02-15,3.682,3.682,3.682,3.682,1580.0,37094.0
2007-02-26,3.734,3.855,3.734,3.855,3380.0,38919.0
2007-02-27,4.02,4.045,4.02,4.02,4080.0,40439.0
2007-02-28,4.02,4.02,4.02,4.02,10.0,38432.0
2007-03-01,4.02,4.02,4.02,4.02,2500.0,37398.0
2007-03-02,3.822,3.822,3.822,3.822,400.0,39223.0
2007-03-05,3.692,3.692,3.635,3.692,3220.0,38614.0
2007-03-06,3.774,3.855,3.774,3.774,5560.0,36729.0
2007-03-07,3.774,3.774,3.774,3.774,6700.0,37094.0
2007-03-08,3.937,3.962,3.937,3.962,5300.0,36486.0
2007-03-09,4.1,4.142,4.1,4.142,6850.0,36486.0
2007-03-12,4.349,4.349,4.349,4.349,8250.0,37094.0
2007-03-13,4.552,4.552,4.552,4.552,2360.0,37094.0
2007-03-14,4.759,4.759,4.759,4.759,5910.0,35270.0
2007-03-15,4.677,4.677,4.552,4.552,7070.0,33506.0
2007-03-16,4.349,4.349,4.349,4.349,350.0,35148.0
