timestamp,open,high,low,close,volume,MarketCapital
2009-05-19,3.833,3.833,3.833,3.833,40.0,9458.0
2009-05-20,4.022,4.022,4.022,4.022,20.0,9458.0
2009-05-21,4.225,4.225,4.225,4.225,10.0,9246.0
2009-05-22,4.425,4.425,4.425,4.425,500.0,8964.0
2009-05-25,4.639,4.639,4.639,4.639,10.0,9387.0
2009-05-26,4.863,4.863,4.863,4.863,10.0,9458.0
2009-05-27,5.102,5.102,5.102,5.102,16040.0,9458.0
2009-05-28,5.348,5.348,5.348,5.348,21900.0,9317.0
2009-05-29,5.61,5.61,5.61,5.61,25850.0,9317.0
2009-06-01,5.881,5.881,5.881,5.881,61090.0,9670.0
2009-06-02,6.154,6.154,6.154,6.154,16350.0,9881.0
2009-06-03,6.45,6.45,6.45,6.45,41500.0,9881.0
2009-06-04,6.744,6.744,6.744,6.744,161220.0,9952.0
2009-06-05,7.041,7.041,7.041,7.041,500.0,10446.0
2009-06-08,7.339,7.339,7.339,7.339,55600.0,10940.0
2009-06-09,7.693,7.693,7.693,7.693,166030.0,10869.0
2009-06-10,8.049,8.049,8.049,8.049,333800.0,10375.0
2009-06-11,8.405,8.405,8.283,8.405,909580.0,10375.0
2009-06-12,8.816,8.816,8.816,8.816,15670.0,9952.0
2009-06-15,9.229,9.229,9.113,9.229,858330.0,9599.0
2009-06-16,8.995,9.229,8.816,8.816,192300.0,9246.0
2009-06-17,8.405,8.405,8.405,8.405,87640.0,9670.0
2009-06-18,8.759,8.759,7.987,8.049,870410.0,10093.0
2009-06-19,8.165,8.165,7.693,7.871,387420.0,10587.0
2009-06-22,7.515,7.574,7.515,7.515,331730.0,10093.0
2009-06-23,7.16,7.16,7.16,7.16,193580.0,9670.0
2009-06-24,7.515,7.515,7.454,7.515,694930.0,10093.0
2009-06-25,7.752,7.752,7.16,7.16,337330.0,10164.0
2009-06-26,6.863,7.339,6.863,7.099,330390.0,10375.0
2009-06-29,7.219,7.454,7.16,7.454,297910.0,10305.0
2009-06-30,7.454,7.454,7.099,7.099,250170.0,9881.0
2009-07-01,6.744,6.744,6.744,6.744,261330.0,9458.0
2009-07-02,6.628,6.863,6.45,6.686,347590.0,9811.0
2009-07-03,6.45,6.628,6.389,6.509,329670.0,9952.0
2009-07-06,6.628,6.805,6.628,6.805,218360.0,10375.0
2009-07-07,6.744,6.921,6.628,6.805,153750.0,10234.0
2009-07-08,6.805,7.099,6.805,7.099,407630.0,10164.0
2009-07-09,7.339,7.454,7.219,7.454,399850.0,10023.0
2009-07-10,7.454,7.454,7.099,7.099,301710.0,10023.0
2009-07-13,7.099,7.099,6.744,6.744,166480.0,10023.0
2009-07-14,6.744,6.744,6.509,6.565,206630.0,9881.0
2009-07-15,6.628,6.863,6.565,6.863,155010.0,10093.0
2009-07-16,7.16,7.16,6.983,7.099,226180.0,10164.0
2009-07-17,6.921,7.041,6.805,6.805,109340.0,10164.0
2009-07-20,6.628,6.628,6.509,6.509,126180.0,9952.0
2009-07-21,6.509,6.686,6.389,6.45,105350.0,10164.0
2009-07-22,6.509,6.509,6.332,6.45,113980.0,10164.0
2009-07-23,6.332,6.744,6.272,6.744,125780.0,10305.0
2009-07-24,7.041,7.041,7.041,7.041,9480.0,10799.0
2009-07-27,7.339,7.339,7.339,7.339,74270.0,10869.0
2009-07-28,7.693,7.693,7.574,7.574,1179810.0,10587.0
2009-07-29,7.809,7.871,7.574,7.693,357910.0,10587.0
2009-07-30,7.454,7.632,7.397,7.454,153170.0,10587.0
2009-07-31,7.632,7.809,7.574,7.809,211700.0,10799.0
2009-08-03,7.809,8.049,7.574,7.809,218920.0,10799.0
2009-08-04,8.049,8.106,7.929,8.049,279050.0,10940.0
2009-08-05,7.929,8.106,7.871,7.987,250320.0,10940.0
2009-08-06,7.987,8.106,7.809,7.809,266100.0,11011.0
2009-08-07,7.693,7.871,7.693,7.693,155730.0,11011.0
2009-08-10,7.693,8.049,7.693,7.929,181020.0,11222.0
2009-08-11,7.871,7.987,7.809,7.871,91000.0,11222.0
2009-08-12,7.987,8.049,7.752,7.752,164290.0,11293.0
