timestamp,open,high,low,close,volume,MarketCapital
2008-12-05,3.531,3.531,3.531,3.531,10110.0,6907.0
2008-12-08,3.531,3.531,3.355,3.355,6570.0,6568.0
2008-12-09,3.19,3.19,3.19,3.19,10.0,6878.0
2008-12-10,3.035,3.035,3.035,3.035,10.0,6681.0
2008-12-11,2.891,2.891,2.891,2.891,460.0,6808.0
2008-12-12,2.748,2.748,2.748,2.748,510.0,7133.0
2008-12-15,2.617,2.617,2.617,2.617,10620.0,7486.0
2008-12-16,2.495,2.495,2.495,2.495,610.0,7133.0
2008-12-17,2.372,2.372,2.372,2.372,500.0,7415.0
2008-12-18,2.264,2.483,2.264,2.406,923090.0,7415.0
2008-12-19,2.329,2.395,2.298,2.317,554220.0,7415.0
2008-12-22,2.275,2.372,2.275,2.317,331800.0,7274.0
2008-12-23,2.275,2.307,2.275,2.307,147970.0,7006.0
2008-12-24,2.207,2.264,2.207,2.231,150910.0,6921.0
2008-12-25,2.231,2.242,2.143,2.143,209190.0,6921.0
2008-12-26,2.064,2.175,2.053,2.175,294520.0,6855.0
2008-12-29,2.12,2.152,2.087,2.097,153170.0,6841.0
2008-12-30,2.075,2.129,2.064,2.12,228490.0,7108.0
2008-12-31,2.087,2.097,2.064,2.087,239090.0,7038.0
2009-01-02,2.021,2.064,2.021,2.053,278840.0,7038.0
2009-01-05,2.064,2.152,2.043,2.152,479070.0,7038.0
2009-01-06,2.207,2.253,2.207,2.253,631790.0,7249.0
2009-01-07,2.339,2.339,2.253,2.264,539930.0,7482.0
2009-01-08,2.207,2.22,2.152,2.152,303820.0,7270.0
2009-01-09,2.12,2.143,2.064,2.097,264690.0,7129.0
2009-01-12,2.075,2.097,2.053,2.075,148180.0,7129.0
2009-01-13,2.053,2.097,2.043,2.053,154020.0,7044.0
2009-01-14,2.053,2.087,2.03,2.053,197160.0,7199.0
2009-01-15,2.03,2.064,2.021,2.053,185720.0,7058.0
2009-01-16,2.053,2.152,2.053,2.152,518980.0,7129.0
2009-01-19,2.129,2.152,2.053,2.097,183510.0,7129.0
