timestamp,open,high,low,close,volume,MarketCapital
2011-01-10,5.498,5.873,5.498,5.873,20.0,12064.0
2011-01-11,5.599,5.999,5.599,5.999,160.0,12064.0
2011-01-12,5.999,5.999,5.999,5.999,0.0,11775.0
2011-01-13,5.999,5.999,5.999,5.999,0.0,11678.0
2011-01-14,5.999,5.999,5.999,5.999,0.0,12257.0
2011-01-17,5.999,5.999,5.999,5.999,0.0,12547.0
2011-01-18,5.999,5.999,5.999,5.999,0.0,12547.0
2011-01-19,5.999,5.999,5.999,5.999,0.0,12450.0
2011-01-20,5.698,5.698,5.698,5.698,10.0,12257.0
2011-01-21,5.424,5.424,5.424,5.424,10.0,12354.0
2011-01-24,5.673,5.673,5.673,5.673,6180.0,12161.0
2011-01-25,5.399,5.399,5.399,5.399,10.0,12064.0
2011-01-26,5.149,5.149,5.149,5.149,10.0,11968.0
2011-01-27,5.149,5.149,5.149,5.149,0.0,12547.0
2011-01-28,5.149,5.149,5.149,5.149,0.0,12161.0
2011-02-08,4.899,4.899,4.899,4.899,20.0,12257.0
2011-02-09,4.675,4.675,4.675,4.675,10.0,12161.0
2011-02-10,4.623,4.623,4.623,4.623,100.0,12064.0
2011-02-11,4.399,4.399,4.399,4.399,10.0,11968.0
2011-02-14,4.399,4.399,4.399,4.399,0.0,11871.0
2011-02-15,4.2,4.2,4.2,4.2,100.0,11871.0
2011-02-16,4.0,4.0,4.0,4.0,100.0,11775.0
2011-02-17,4.0,4.0,4.0,4.0,0.0,11775.0
2011-02-18,3.799,3.799,3.799,3.799,110.0,11196.0
2011-02-21,3.949,3.949,3.949,3.949,10.0,10713.0
2011-02-22,3.949,3.949,3.949,3.949,10.0,10424.0
2011-02-23,4.123,4.123,4.123,4.123,10.0,10327.0
2011-02-24,4.323,4.323,4.323,4.323,10.0,10231.0
2011-02-25,4.45,4.45,4.45,4.45,10.0,10713.0
2011-02-28,4.598,4.598,4.598,4.598,10.0,10424.0
2011-03-01,4.598,4.598,4.598,4.598,0.0,10520.0
2011-03-02,4.598,4.598,4.598,4.598,0.0,10424.0
2011-03-03,4.598,4.598,4.598,4.598,0.0,10424.0
2011-03-04,4.598,4.598,4.598,4.598,0.0,10424.0
2011-03-07,4.598,4.598,4.598,4.598,0.0,10424.0
2011-03-08,4.374,4.374,4.374,4.374,10.0,10617.0
2011-03-09,4.174,4.174,4.174,4.174,10.0,10424.0
2011-03-10,4.174,4.174,4.174,4.174,0.0,10520.0
2011-03-11,4.374,4.374,3.974,3.974,20.0,10424.0
2011-03-14,3.974,3.974,3.974,3.974,0.0,10231.0
2011-03-15,3.799,3.799,3.799,3.799,10.0,10134.0
2011-03-16,3.624,3.624,3.624,3.624,1000.0,10134.0
2011-03-17,3.624,3.624,3.624,3.624,0.0,10038.0
2011-03-18,3.45,3.45,3.45,3.45,10.0,10231.0
2011-03-21,3.601,3.601,3.601,3.601,10.0,10231.0
2011-03-22,3.601,3.601,3.601,3.601,0.0,10231.0
2011-03-23,3.724,3.724,3.45,3.45,60.0,10327.0
2011-03-24,3.499,3.499,3.499,3.499,10.0,10231.0
2011-03-25,3.674,3.674,3.324,3.324,220.0,10134.0
2011-03-28,3.474,3.474,3.474,3.474,10.0,10038.0
2011-03-29,3.324,3.324,3.324,3.324,30.0,9941.0
2011-03-30,3.474,3.474,3.474,3.474,10.0,9845.0
2011-03-31,3.624,3.624,3.624,3.624,10.0,9845.0
2011-04-01,3.499,3.499,3.499,3.499,500.0,9632.0
2011-04-04,3.499,3.499,3.499,3.499,0.0,10038.0
2011-04-05,3.499,3.499,3.499,3.499,0.0,10520.0
2011-04-06,3.499,3.499,3.499,3.499,0.0,11003.0
2011-04-07,3.499,3.499,3.499,3.499,0.0,11099.0
2011-04-08,3.324,3.324,3.324,3.324,100.0,11099.0
2011-04-13,3.324,3.324,3.324,3.324,0.0,10617.0
2011-04-14,3.324,3.324,3.324,3.324,0.0,10231.0
2011-04-15,3.223,3.223,3.223,3.223,10.0,10231.0
2011-04-18,3.223,3.223,3.223,3.223,0.0,9941.0
2011-04-19,3.223,3.223,3.223,3.223,0.0,9845.0
2011-04-20,3.223,3.223,3.223,3.223,0.0,9748.0
2011-04-21,3.223,3.223,3.223,3.223,0.0,9748.0
2011-04-22,3.373,3.373,3.373,3.373,10.0,9632.0
2011-04-25,3.223,3.223,3.223,3.223,10.0,10037.0
2011-04-26,3.223,3.223,3.223,3.223,0.0,9844.0
2011-04-27,3.223,3.223,3.223,3.223,0.0,9844.0
2011-04-28,3.223,3.223,3.223,3.223,0.0,9747.0
2011-04-29,3.223,3.223,3.223,3.223,0.0,9844.0
2011-05-04,3.373,3.373,3.373,3.373,10.0,9941.0
2011-05-05,3.373,3.373,3.373,3.373,0.0,9941.0
2011-05-06,3.373,3.373,3.373,3.373,0.0,10037.0
2011-05-09,3.373,3.373,3.373,3.373,0.0,10230.0
2011-05-10,3.223,3.223,3.223,3.223,10.0,10230.0
2011-05-11,3.223,3.223,3.223,3.223,0.0,10134.0
2011-05-12,3.074,3.074,3.074,3.074,10.0,10134.0
2011-05-13,3.074,3.074,3.074,3.074,0.0,10134.0
2011-05-16,2.925,2.925,2.924,2.924,10.0,9941.0
2011-05-17,2.924,2.924,2.924,2.924,0.0,9941.0
2011-05-18,2.798,2.798,2.798,2.798,10.0,9844.0
2011-05-19,2.798,2.798,2.798,2.798,0.0,9941.0
2011-05-20,2.798,2.798,2.798,2.798,0.0,9747.0
2011-05-23,2.798,2.798,2.798,2.798,0.0,9265.0
2011-05-24,2.798,2.798,2.798,2.798,0.0,8802.0
2011-05-25,2.9,2.9,2.9,2.9,10.0,8377.0
2011-05-26,2.875,2.875,2.875,2.875,100.0,8782.0
2011-05-27,2.999,2.999,2.999,2.999,10.0,8802.0
2011-05-30,3.024,3.124,3.024,3.124,3010.0,8744.0
2011-05-31,3.124,3.124,3.124,3.124,0.0,8744.0
2011-06-01,3.124,3.124,3.124,3.124,0.0,9168.0
2011-06-02,3.124,3.124,3.124,3.124,0.0,9612.0
2011-06-03,3.124,3.124,3.124,3.124,0.0,9747.0
2011-06-06,3.124,3.124,3.124,3.124,0.0,9651.0
2011-06-07,2.973,2.973,2.973,2.973,100.0,10037.0
2011-06-08,2.973,2.973,2.973,2.973,0.0,9844.0
