timestamp,open,high,low,close,volume,MarketCapital
2006-12-13,15.58,15.9,15.58,15.58,328550.0,24324.0
2006-12-14,15.57,15.89,15.57,15.73,422960.0,25540.0
2006-12-15,15.73,15.89,15.73,15.89,490610.0,26817.0
2006-12-18,15.9,15.9,15.18,15.26,318460.0,28155.0
2006-12-19,15.42,15.42,15.26,15.26,140780.0,29554.0
2006-12-20,15.11,15.11,14.79,14.79,125650.0,31013.0
2006-12-21,14.24,14.24,14.08,14.08,114650.0,29493.0
2006-12-22,13.45,13.45,13.45,13.45,63300.0,28034.0
2006-12-25,13.44,14.08,12.79,14.08,104790.0,26635.0
2006-12-26,14.47,14.47,14.47,14.47,71550.0,27912.0
2006-12-27,14.47,14.64,14.47,14.47,28810.0,29189.0
2006-12-28,14.24,14.24,14.16,14.24,117620.0,29189.0
2006-12-29,14.24,14.24,13.92,14.24,78130.0,27973.0
2007-01-02,14.47,14.47,14.47,14.47,61390.0,26757.0
2007-01-03,14.16,14.16,14.0,14.16,60500.0,27365.0
2007-01-04,14.63,14.79,14.63,14.63,124380.0,28702.0
2007-01-05,15.1,15.34,15.1,15.34,293840.0,30101.0
2007-01-08,15.34,15.34,15.26,15.26,183380.0,29797.0
2007-01-09,15.42,15.58,15.42,15.42,285470.0,29797.0
2007-01-10,15.41,15.89,15.41,15.89,341260.0,30101.0
2007-01-11,16.52,16.52,16.52,16.52,718250.0,30405.0
2007-01-12,17.31,17.31,17.31,17.31,119950.0,31925.0
2007-01-15,18.09,18.09,18.09,18.09,64450.0,33506.0
2007-01-16,18.88,18.88,18.88,18.88,26660.0,35148.0
2007-01-17,19.66,19.66,19.66,19.66,34270.0,33446.0
2007-01-18,20.61,20.61,20.61,20.61,117790.0,33506.0
2007-01-19,21.55,21.55,21.55,21.55,70160.0,35148.0
2007-01-22,21.54,22.5,21.54,22.34,656780.0,36486.0
2007-01-23,22.34,22.34,22.34,22.34,319050.0,36608.0
2007-01-24,22.36,22.36,21.24,21.24,185700.0,35270.0
2007-01-25,20.29,20.29,20.29,20.29,256300.0,35270.0
2007-01-26,20.76,21.24,20.76,21.24,158920.0,35270.0
2007-01-29,21.23,21.55,21.23,21.55,126630.0,36790.0
2007-01-30,22.34,22.5,22.34,22.5,216680.0,38310.0
2007-01-31,22.5,23.62,22.34,22.34,371040.0,39223.0
2007-02-01,22.33,23.13,22.33,23.13,487770.0,37702.0
2007-02-02,22.5,22.5,22.5,22.5,125450.0,38310.0
2007-02-05,22.48,23.6,22.17,23.6,229750.0,36425.0
2007-02-06,23.59,24.7,22.95,24.7,325440.0,38006.0
2007-02-07,24.72,24.72,23.6,23.6,129780.0,38614.0
2007-02-08,22.5,22.5,22.5,22.5,115570.0,36729.0
2007-02-09,21.4,21.4,21.4,21.4,100610.0,34905.0
2007-02-12,21.38,22.34,21.22,22.34,348860.0,36608.0
2007-02-13,22.34,22.34,22.34,22.34,205750.0,38310.0
2007-02-14,22.33,23.44,22.33,23.44,238190.0,37094.0
2007-02-15,23.44,23.44,23.44,23.44,147270.0,37094.0
2007-02-26,24.54,24.54,24.54,24.54,233760.0,38919.0
2007-02-27,25.65,25.65,25.65,25.65,149920.0,40439.0
2007-02-28,26.74,26.9,26.74,26.9,488260.0,38432.0
2007-03-01,26.9,27.38,26.9,26.9,267530.0,37398.0
2007-03-02,28.07,28.07,26.92,28.07,201840.0,39223.0
2007-03-05,29.39,29.39,29.39,29.39,197650.0,38614.0
2007-03-06,29.4,30.74,28.26,28.26,148310.0,36729.0
2007-03-07,28.25,28.63,26.92,28.63,162270.0,37094.0
2007-03-08,28.64,28.64,27.87,28.07,123780.0,36486.0
2007-03-09,28.06,28.26,28.06,28.26,122720.0,36486.0
2007-03-12,28.26,29.59,28.26,28.26,184090.0,37094.0
2007-03-13,28.26,28.26,27.68,28.26,139300.0,37094.0
2007-03-14,28.07,28.07,26.92,28.07,136150.0,35270.0
2007-03-15,26.94,26.94,26.74,26.94,125280.0,33506.0
2007-03-16,27.68,28.26,27.68,28.26,133200.0,35148.0
2007-03-19,28.63,29.59,28.63,28.63,147210.0,35148.0
2007-03-20,28.65,28.65,27.5,27.5,135710.0,34175.0
2007-03-21,27.5,27.69,27.5,27.5,69610.0,32533.0
2007-03-22,27.5,27.5,26.93,27.5,50000.0,33750.0
2007-03-23,27.51,27.51,26.94,26.94,84290.0,33750.0
2007-03-26,27.5,27.69,27.5,27.5,122190.0,32838.0
2007-03-27,27.13,27.13,26.18,26.18,54500.0,31196.0
2007-03-28,25.8,25.8,25.04,25.8,59940.0,31196.0
2007-03-29,26.74,26.94,26.74,26.94,73850.0,32716.0
2007-03-30,26.93,27.69,26.93,27.31,96770.0,32898.0
2007-04-02,27.31,27.31,26.36,27.31,103360.0,31621.0
2007-04-03,26.94,27.32,26.74,26.94,97900.0,30405.0
2007-04-04,26.94,26.94,26.74,26.94,126640.0,31256.0
2007-04-05,27.12,27.31,27.12,27.12,105360.0,31317.0
2007-04-06,27.12,27.12,26.36,27.12,70880.0,31013.0
2007-04-09,26.94,26.94,26.74,26.94,87560.0,31317.0
2007-04-10,26.94,26.94,26.55,26.94,165780.0,31682.0
2007-04-11,26.75,26.75,26.36,26.75,67490.0,31925.0
2007-04-12,26.75,26.75,26.56,26.75,106980.0,32838.0
2007-04-13,26.56,26.56,26.56,26.56,113570.0,31621.0
2007-04-16,26.56,26.75,26.37,26.56,167600.0,31925.0
2007-04-17,26.37,26.37,25.41,26.37,70330.0,31317.0
2007-04-18,26.36,26.75,26.17,26.75,123260.0,31621.0
2007-04-19,26.56,26.75,26.56,26.56,82220.0,30709.0
2007-04-20,26.56,26.75,25.41,26.75,111840.0,29189.0
2007-04-23,25.42,25.42,25.42,25.42,27490.0,27729.0
2007-04-24,25.42,25.42,24.28,25.42,70080.0,26392.0
2007-04-25,25.23,25.23,24.47,25.23,43840.0,25844.0
2007-05-02,25.23,25.81,25.23,25.23,82250.0,26331.0
2007-05-03,25.23,25.23,25.23,25.23,115610.0,26878.0
2007-05-04,25.23,25.23,24.66,25.23,135210.0,28216.0
2007-05-07,25.23,25.42,25.04,25.42,157280.0,29615.0
2007-05-08,25.8,26.18,25.8,26.18,169120.0,30405.0
2007-05-09,26.18,26.18,26.18,26.18,155610.0,30405.0
2007-05-10,25.8,26.18,25.8,25.8,67050.0,31925.0
2007-05-11,25.8,25.8,25.8,25.8,151010.0,33506.0
2007-05-14,25.8,25.99,25.8,25.99,197680.0,35148.0
2007-05-15,25.99,26.56,25.99,26.18,101500.0,33446.0
2007-05-16,25.99,26.37,25.99,25.99,61360.0,32351.0
2007-05-17,25.99,26.18,25.99,26.18,103600.0,33871.0
2007-05-18,26.18,26.18,25.99,26.18,136460.0,32898.0
2007-05-21,26.18,26.37,26.18,26.37,201480.0,22621.0
2007-05-22,26.74,27.5,26.74,27.5,270070.0,22621.0
2007-05-23,28.82,28.82,28.82,28.82,204160.0,22500.0
2007-05-24,27.69,28.64,27.69,27.69,193570.0,21892.0
2007-05-25,28.06,28.44,28.06,28.44,189520.0,21770.0
2007-05-28,28.63,29.02,28.63,28.63,193080.0,21709.0
2007-05-29,28.44,28.64,27.87,28.44,95360.0,21101.0
2007-05-30,27.5,27.88,27.5,27.5,54160.0,21284.0
2007-05-31,28.26,28.45,28.26,28.26,108110.0,21223.0
2007-06-01,28.26,28.26,27.69,27.69,129260.0,20980.0
2007-06-04,27.32,27.32,26.94,26.94,53270.0,20675.0
2007-06-05,26.93,27.12,26.93,27.12,70830.0,19642.0
2007-06-06,27.12,27.5,27.12,27.12,54300.0,20067.0
2007-06-07,27.13,27.13,26.94,26.94,101210.0,20554.0
2007-06-08,26.94,26.94,26.75,26.75,55250.0,20067.0
2007-06-11,26.75,26.94,26.75,26.75,64120.0,19459.0
2007-06-12,26.94,27.13,26.94,26.94,98500.0,19398.0
2007-06-13,26.94,27.32,26.94,26.94,67230.0,18608.0
2007-06-14,27.12,27.12,27.12,27.12,82650.0,18547.0
2007-06-15,27.31,27.5,27.31,27.31,91820.0,18851.0
2007-06-18,27.32,27.32,26.94,26.94,112930.0,18608.0
2007-06-19,26.94,26.94,26.94,26.94,111770.0,27912.0
2007-06-20,26.94,26.94,26.94,26.94,139650.0,27912.0
2007-06-21,27.97,27.97,27.31,27.31,105500.0,27365.0
2007-06-22,27.31,27.53,27.31,27.53,122500.0,26909.0
2007-06-25,27.53,27.53,27.53,27.53,91030.0,28186.0
2007-06-26,27.09,27.09,27.09,27.09,49600.0,29554.0
2007-06-27,27.09,27.09,26.43,26.43,17960.0,28368.0
2007-06-28,26.43,26.43,26.21,26.21,60560.0,28094.0
2007-06-29,26.21,26.43,26.21,26.43,108690.0,28003.0
2007-07-02,26.43,26.43,25.77,25.77,50230.0,27547.0
2007-07-03,25.77,26.43,24.89,26.43,119700.0,27638.0
2007-07-04,26.43,26.87,26.43,26.87,94800.0,28459.0
2007-07-05,27.31,27.31,27.31,27.31,114380.0,28277.0
2007-07-06,27.75,28.19,27.75,28.19,98140.0,28094.0
