timestamp,open,high,low,close,volume,MarketCapital
2016-03-02,9.309,9.309,8.32,8.32,287620.0,19360.0
2016-03-03,7.744,7.744,7.744,7.744,84630.0,19400.0
2016-03-04,7.25,7.662,7.25,7.25,473110.0,19479.0
2016-03-07,7.25,7.662,7.085,7.332,514860.0,19320.0
2016-03-08,7.332,7.414,7.25,7.332,499550.0,19082.0
2016-03-09,6.837,7.168,6.837,6.837,253220.0,19082.0
2016-03-10,6.425,6.92,6.425,6.508,530580.0,19161.0
2016-03-11,6.508,6.672,6.343,6.59,554630.0,19280.0
2016-03-14,6.59,6.59,6.425,6.508,481700.0,19360.0
2016-03-15,6.508,6.508,6.261,6.425,552220.0,19280.0
2016-03-16,6.425,6.425,6.096,6.343,666140.0,19280.0
2016-03-17,6.343,6.343,6.096,6.343,546180.0,19280.0
2016-03-18,6.343,6.425,6.096,6.261,607070.0,19598.0
2016-03-21,6.261,6.343,6.096,6.179,519320.0,19559.0
2016-03-22,6.179,6.261,6.014,6.179,537990.0,19360.0
2016-03-23,6.179,6.59,6.096,6.59,692310.0,19360.0
2016-03-24,6.59,7.002,6.59,6.837,638530.0,19241.0
2016-03-25,6.837,7.085,6.672,6.837,797720.0,19042.0
2016-03-28,6.837,7.085,6.837,7.002,645470.0,19082.0
2016-03-29,7.002,7.085,6.59,6.672,820140.0,18883.0
2016-03-30,6.425,6.837,6.425,6.672,499870.0,18883.0
2016-03-31,6.672,6.672,6.343,6.425,243280.0,18724.0
2016-04-01,6.425,6.425,6.261,6.425,769820.0,18604.0
2016-04-04,6.425,6.59,6.343,6.59,601660.0,18604.0
2016-04-05,6.59,6.672,6.425,6.672,508470.0,18684.0
2016-04-06,6.672,6.672,6.425,6.425,771970.0,18843.0
2016-04-07,6.425,6.672,6.343,6.672,692000.0,19002.0
2016-04-08,6.672,6.672,6.343,6.59,682080.0,18923.0
2016-04-11,6.508,6.755,6.508,6.755,568930.0,19042.0
2016-04-12,6.59,6.755,6.343,6.672,395230.0,18962.0
2016-04-13,6.672,6.672,6.508,6.672,226720.0,18923.0
2016-04-14,6.672,6.672,6.508,6.672,328200.0,18883.0
2016-04-15,6.672,6.672,6.508,6.672,254690.0,18763.0
2016-04-19,6.672,6.672,6.508,6.672,241930.0,18684.0
2016-04-20,6.59,6.672,6.425,6.59,243590.0,18724.0
2016-04-21,6.59,6.59,6.425,6.508,260810.0,18803.0
2016-04-22,6.508,6.59,6.343,6.59,450890.0,19002.0
2016-04-25,6.59,6.59,6.508,6.508,298350.0,19042.0
2016-04-26,6.425,6.508,6.343,6.508,159900.0,19042.0
2016-04-27,6.508,6.59,6.343,6.425,280490.0,18962.0
2016-04-28,6.425,6.508,6.343,6.343,177700.0,19241.0
2016-04-29,6.343,6.508,6.261,6.343,197590.0,19413.0
2016-05-04,6.425,6.425,6.261,6.343,238060.0,19213.0
2016-05-05,6.343,6.755,6.343,6.755,337580.0,19093.0
2016-05-06,6.755,7.085,6.755,6.92,220340.0,18973.0
2016-05-09,6.92,7.085,6.672,7.085,264960.0,18853.0
2016-05-10,7.085,7.25,6.92,7.085,228900.0,18893.0
2016-05-11,7.085,7.579,7.002,7.497,356830.0,19053.0
2016-05-12,7.497,7.827,7.414,7.827,325230.0,18933.0
2016-05-13,7.827,7.909,7.662,7.909,410840.0,18933.0
2016-05-16,7.827,8.239,7.744,7.991,471960.0,18893.0
2016-05-17,7.991,8.074,7.579,7.827,395610.0,19013.0
2016-05-18,7.662,7.991,7.579,7.662,417420.0,19053.0
2016-05-19,7.579,7.662,7.168,7.25,307930.0,19053.0
2016-05-20,6.837,7.332,6.755,7.332,329180.0,19133.0
2016-05-23,7.332,7.414,7.168,7.414,250560.0,19093.0
2016-05-24,7.414,7.744,7.332,7.662,267460.0,19053.0
2016-05-25,7.497,7.744,7.414,7.662,286490.0,19053.0
2016-05-26,7.744,8.074,7.579,7.827,280440.0,18973.0
2016-05-27,7.827,7.827,7.662,7.744,340240.0,16377.0
2016-05-30,7.744,7.744,7.579,7.744,314000.0,16417.0
2016-05-31,7.744,7.744,7.579,7.744,312420.0,16297.0
2016-06-01,7.579,7.744,7.497,7.662,264410.0,16297.0
2016-06-02,7.579,7.662,7.497,7.579,326820.0,16297.0
2016-06-03,7.579,7.662,7.414,7.662,315170.0,16257.0
2016-06-06,7.579,7.662,7.332,7.497,306470.0,16137.0
2016-06-07,7.579,7.579,7.414,7.497,258130.0,16177.0
2016-06-08,7.497,7.497,7.414,7.414,264980.0,16257.0
2016-06-09,7.497,7.497,7.332,7.497,260500.0,16177.0
2016-06-10,7.414,7.414,7.332,7.414,271780.0,16177.0
2016-06-13,7.085,7.414,7.002,7.168,296270.0,16137.0
2016-06-14,6.92,7.25,6.92,7.25,285520.0,16177.0
2016-06-15,7.168,7.332,7.085,7.332,321420.0,16097.0
2016-06-16,7.332,7.332,7.168,7.332,287100.0,16137.0
2016-06-17,7.085,7.332,7.085,7.25,315270.0,16137.0
2016-06-20,7.25,7.25,7.085,7.25,270530.0,17056.0
2016-06-21,7.25,7.414,7.168,7.414,311730.0,17056.0
2016-06-22,7.414,7.414,7.332,7.414,14140.0,16936.0
2016-06-23,7.332,7.414,7.25,7.332,103590.0,16736.0
2016-06-24,7.332,7.332,6.837,6.92,117130.0,16337.0
2016-06-27,6.755,6.92,6.755,6.92,18500.0,16457.0
2016-06-28,6.92,6.92,6.755,6.92,22050.0,16457.0
2016-06-29,6.92,6.92,6.837,6.837,13910.0,16776.0
2016-06-30,6.837,7.002,6.837,7.002,19700.0,16696.0
2016-07-01,6.92,7.002,6.755,7.002,54990.0,16736.0
2016-07-04,6.92,7.002,6.755,6.92,113330.0,16976.0
2016-07-05,6.92,7.002,6.755,6.755,53800.0,16856.0
2016-07-06,6.425,6.59,6.425,6.508,37840.0,16896.0
2016-07-07,6.508,6.672,6.343,6.343,108630.0,19890.0
2016-07-08,6.261,6.672,6.179,6.672,29320.0,20027.0
