timestamp,open,high,low,close,volume,MarketCapital
2006-12-13,6.46,6.51,6.26,6.51,42640.0,24324.0
2006-12-14,6.51,6.81,6.51,6.81,23370.0,25540.0
2006-12-15,7.1,7.1,7.1,7.1,10890.0,26817.0
2006-12-18,7.45,7.45,7.45,7.45,16570.0,28155.0
2006-12-19,7.8,7.8,7.8,7.8,67110.0,29554.0
2006-12-20,7.8,8.05,7.45,7.45,52010.0,31013.0
2006-12-21,7.45,7.55,7.45,7.45,15040.0,29493.0
2006-12-22,7.2,7.2,7.1,7.1,10140.0,28034.0
2006-12-25,6.95,6.95,6.76,6.95,15710.0,26635.0
2006-12-26,6.95,6.95,6.61,6.95,38440.0,27912.0
2006-12-27,7.1,7.15,7.1,7.15,16940.0,29189.0
2006-12-28,7.16,7.21,6.96,7.06,4110.0,29189.0
2006-12-29,7.06,7.06,6.76,7.06,7850.0,27973.0
2007-01-02,6.75,6.75,6.75,6.75,8290.0,26757.0
2007-01-03,6.76,7.06,6.76,7.06,15250.0,27365.0
2007-01-04,7.21,7.41,7.21,7.41,27060.0,28702.0
2007-01-05,7.41,7.41,7.06,7.41,30420.0,30101.0
2007-01-08,7.4,7.4,7.1,7.1,17760.0,29797.0
2007-01-09,7.21,7.45,7.21,7.21,44870.0,29797.0
2007-01-10,7.21,7.21,7.01,7.06,9640.0,30101.0
2007-01-11,7.06,7.06,6.96,7.06,21520.0,30405.0
2007-01-12,7.05,7.35,6.95,6.95,34080.0,31925.0
2007-01-15,6.96,7.01,6.96,7.01,45200.0,33506.0
2007-01-16,7.21,7.35,7.21,7.21,38060.0,35148.0
2007-01-17,7.21,7.45,7.21,7.21,34040.0,33446.0
2007-01-18,7.1,7.1,7.0,7.1,13800.0,33506.0
2007-01-19,7.11,7.11,6.81,7.06,30620.0,35148.0
2007-01-22,7.06,7.4,6.96,7.21,15050.0,36486.0
2007-01-23,7.21,7.21,6.96,7.21,17880.0,36608.0
2007-01-24,7.21,7.21,7.06,7.06,37490.0,35270.0
2007-01-25,7.35,7.4,7.35,7.35,41600.0,35270.0
2007-01-26,7.35,7.45,7.35,7.45,46210.0,35270.0
2007-01-29,7.1,7.1,7.1,7.1,80770.0,36790.0
2007-01-30,7.3,7.5,7.3,7.3,15800.0,38310.0
2007-01-31,7.3,7.45,7.3,7.3,5020.0,39223.0
2007-02-01,7.3,7.3,7.1,7.15,3980.0,37702.0
2007-02-02,7.35,7.35,7.35,7.35,7540.0,38310.0
2007-02-05,7.35,7.45,7.35,7.45,70550.0,36425.0
2007-02-06,7.8,7.8,7.8,7.8,68340.0,38006.0
2007-02-07,8.15,8.15,8.15,8.15,11130.0,38614.0
2007-02-08,8.55,8.55,8.55,8.55,126120.0,36729.0
2007-02-09,8.54,8.94,8.44,8.44,267130.0,34905.0
2007-02-12,8.6,8.84,8.6,8.84,163580.0,36608.0
2007-02-13,9.24,9.24,9.24,9.24,138260.0,38310.0
2007-02-14,9.69,9.69,9.69,9.69,67820.0,37094.0
