timestamp,open,high,low,close,volume,MarketCapital
2008-10-30,15.272,15.272,15.272,15.272,600.0,6617.0
2008-10-31,14.536,14.536,14.536,14.536,250.0,7015.0
2008-11-03,13.928,13.928,13.928,13.928,360.0,7345.0
2008-11-04,13.316,13.316,13.316,13.316,900.0,7674.0
2008-11-05,12.704,12.704,12.704,12.704,2000.0,8051.0
2008-11-06,12.069,12.069,12.069,12.069,110.0,8380.0
2008-11-07,11.486,11.486,11.486,11.486,160.0,8616.0
2008-11-10,10.92,10.92,10.92,10.92,210.0,9039.0
2008-11-11,10.385,10.385,10.385,10.385,1360.0,8616.0
2008-11-12,9.87,9.87,9.87,9.87,40.0,8192.0
2008-11-13,9.382,9.382,9.382,9.382,60.0,8121.0
2008-11-14,8.915,9.529,8.915,8.915,81310.0,8474.0
2008-11-17,8.478,8.501,8.478,8.478,25150.0,8192.0
2008-11-18,8.061,8.061,8.061,8.061,2230.0,7980.0
2008-11-19,7.673,7.673,7.673,7.673,17200.0,7768.0
2008-11-20,7.306,7.306,7.306,7.306,5550.0,7415.0
2008-11-21,6.986,6.986,6.965,6.965,2430.0,7133.0
2008-11-24,6.621,6.621,6.621,6.621,2300.0,7415.0
2008-11-25,6.303,6.303,6.303,6.303,1910.0,7556.0
2008-11-26,6.012,6.599,6.012,6.327,142180.0,7203.0
2008-11-27,6.55,6.55,6.057,6.303,28420.0,6850.0
2008-11-28,6.55,6.55,6.351,6.351,35720.0,7133.0
2008-12-01,6.351,6.351,6.037,6.107,46090.0,7415.0
2008-12-02,5.84,5.865,5.816,5.816,41810.0,7062.0
2008-12-03,5.816,5.816,5.547,5.547,65560.0,7133.0
2008-12-04,5.152,5.471,5.152,5.276,32360.0,7133.0
2008-12-05,5.129,5.129,5.036,5.059,67760.0,6907.0
2008-12-08,4.888,5.059,4.813,4.888,13590.0,6568.0
2008-12-09,5.084,5.129,5.084,5.129,4810.0,6878.0
2008-12-10,5.374,5.374,5.374,5.374,3810.0,6681.0
2008-12-11,5.643,5.643,5.496,5.643,154440.0,6808.0
2008-12-12,5.914,5.914,5.914,5.914,2390.0,7133.0
2008-12-15,6.207,6.207,6.207,6.207,19000.0,7486.0
2008-12-16,6.499,6.499,6.303,6.499,233980.0,7133.0
2008-12-17,6.255,6.719,6.255,6.499,85360.0,7415.0
2008-12-18,6.499,6.572,6.351,6.376,14520.0,7415.0
2008-12-19,6.327,6.475,6.303,6.475,35930.0,7415.0
2008-12-22,6.744,6.744,6.475,6.695,74180.0,7274.0
2008-12-23,6.499,6.55,6.4,6.449,42110.0,7006.0
2008-12-24,6.228,6.449,6.228,6.426,28110.0,6921.0
2008-12-25,6.599,6.599,6.426,6.475,5190.0,6921.0
2008-12-26,6.351,6.521,6.351,6.499,26570.0,6855.0
