timestamp,open,high,low,close,volume,MarketCapital
2010-09-22,16.53,16.53,16.53,16.53,405890.0,13787.0
2010-09-23,15.7,15.7,15.7,15.7,65320.0,13787.0
2010-09-24,14.96,14.96,14.96,14.96,54320.0,13594.0
2010-09-27,14.22,14.96,14.22,14.8,1810210.0,13497.0
2010-09-28,14.88,15.46,14.88,15.21,1222650.0,13690.0
2010-09-29,15.21,15.21,14.55,14.55,272750.0,13594.0
2010-09-30,14.46,14.8,14.22,14.46,293220.0,13690.0
2010-10-01,14.38,14.38,13.8,13.8,647910.0,13690.0
2010-10-04,13.47,13.47,13.14,13.14,632910.0,13690.0
2010-10-05,12.56,12.98,12.56,12.98,607200.0,13883.0
2010-10-06,12.81,13.22,12.56,13.06,579300.0,13979.0
2010-10-07,13.06,13.06,12.48,12.48,536770.0,14172.0
2010-10-08,12.23,12.65,12.15,12.23,194510.0,14076.0
2010-10-11,11.99,12.23,11.82,11.82,173030.0,13883.0
2010-10-12,11.65,11.82,11.32,11.41,217150.0,13787.0
2010-10-13,11.24,11.49,11.16,11.41,182630.0,13979.0
2010-10-14,11.41,11.74,11.41,11.41,156320.0,14076.0
2010-10-15,11.57,11.57,11.41,11.41,143280.0,13787.0
2010-10-18,11.16,11.41,11.16,11.24,152750.0,13787.0
2010-10-19,11.16,11.41,10.75,10.91,285220.0,13787.0
2010-10-20,10.66,10.75,10.41,10.41,359760.0,13594.0
2010-10-21,10.75,10.75,10.17,10.17,227740.0,13401.0
2010-10-22,10.17,10.41,9.84,10.0,337850.0,13401.0
2010-10-25,10.5,10.5,10.5,10.5,52500.0,13401.0
2010-10-26,10.99,10.99,10.99,10.99,48770.0,13787.0
2010-10-27,11.49,11.49,11.16,11.32,874660.0,13979.0
2010-10-28,10.99,11.32,10.91,10.91,294180.0,14172.0
2010-10-29,11.16,11.16,10.83,11.08,233880.0,14751.0
2010-11-01,11.08,11.08,10.91,10.99,140560.0,14365.0
2010-11-02,10.75,10.99,10.66,10.91,310550.0,14076.0
2010-11-03,10.83,10.91,10.75,10.75,145590.0,14076.0
2010-11-04,10.75,10.91,10.75,10.83,217230.0,14187.0
2010-11-05,10.99,11.08,10.83,11.08,229790.0,14669.0
2010-11-08,11.08,11.08,10.75,10.91,238730.0,13994.0
2010-11-09,10.66,10.83,10.66,10.66,347680.0,14090.0
2010-11-10,10.75,10.75,10.5,10.5,66700.0,14283.0
2010-11-11,10.25,10.25,10.0,10.0,287260.0,13994.0
2010-11-12,9.75,9.84,9.51,9.51,360030.0,13897.0
2010-11-15,9.84,9.84,9.09,9.09,277270.0,13511.0
2010-11-16,8.76,8.93,8.68,8.68,277840.0,13415.0
2010-11-17,8.84,8.93,8.43,8.43,237400.0,13222.0
2010-11-18,8.76,8.84,8.76,8.84,372610.0,13318.0
2010-11-19,9.09,9.26,8.76,8.93,315590.0,13125.0
2010-11-22,8.6,8.93,8.6,8.93,165640.0,13318.0
2010-11-23,9.09,9.26,9.09,9.17,232540.0,13511.0
2010-11-24,9.09,9.34,9.01,9.17,139500.0,13704.0
2010-11-25,9.09,9.59,9.09,9.59,427330.0,13511.0
2010-11-26,9.92,9.92,9.42,9.67,287550.0,13222.0
2010-11-29,9.42,9.92,9.42,9.92,248620.0,13608.0
2010-11-30,10.41,10.41,10.17,10.33,347980.0,13511.0
2010-12-01,10.17,10.5,9.92,10.33,538320.0,13222.0
2010-12-02,10.33,10.83,9.92,10.83,1089350.0,13318.0
2010-12-03,11.32,11.32,11.24,11.32,516560.0,13318.0
2010-12-06,11.65,11.82,11.32,11.57,945060.0,13222.0
