timestamp,open,high,low,close,volume,MarketCapital
2010-09-10,5.342,8.013,5.342,8.013,200.0,13979.0
2010-09-13,6.681,6.681,6.681,6.681,5000.0,14076.0
2010-09-14,6.681,6.681,6.681,6.681,0.0,14076.0
2010-09-15,7.389,7.389,7.389,7.389,0.0,14076.0
2010-09-16,7.389,7.389,7.389,7.389,15000.0,13883.0
2010-09-17,6.681,6.681,6.681,6.681,0.0,14172.0
2010-09-20,7.389,7.389,7.389,7.389,0.0,14076.0
2010-09-21,6.681,6.681,6.681,6.681,0.0,13883.0
2010-09-22,6.681,6.681,6.681,6.681,0.0,13787.0
2010-09-23,7.389,7.389,7.389,7.389,0.0,13787.0
2010-09-24,7.389,7.389,7.389,7.389,0.0,13594.0
2010-09-27,6.681,6.681,6.681,6.681,0.0,13497.0
2010-09-28,7.389,7.389,7.389,7.389,0.0,13690.0
2010-09-29,6.681,6.681,6.681,6.681,0.0,13594.0
2010-09-30,6.037,6.037,6.037,6.037,9000.0,13690.0
2010-10-01,6.681,6.681,6.681,6.681,0.0,13690.0
2010-10-04,6.037,6.037,6.037,6.037,0.0,13690.0
2010-10-05,6.681,6.681,6.681,6.681,0.0,13883.0
2010-10-06,6.681,6.681,6.681,6.681,0.0,13979.0
2010-10-07,6.037,6.037,6.037,6.037,20000.0,14172.0
2010-10-08,5.451,5.451,5.451,5.451,100.0,14076.0
2010-10-11,4.917,4.917,4.917,4.917,100.0,13883.0
2010-10-12,4.434,4.434,4.434,4.434,100.0,13787.0
2010-10-13,4.011,4.011,4.011,4.011,100.0,13979.0
2010-10-14,3.636,3.636,3.636,3.636,2700.0,14076.0
2010-10-15,3.315,3.366,3.315,3.315,47400.0,13787.0
2010-10-18,3.044,3.044,2.992,2.992,28300.0,13787.0
2010-10-19,2.722,2.941,2.722,2.941,76300.0,13787.0
2010-10-20,2.992,2.992,2.992,2.992,2900.0,13594.0
2010-10-21,3.255,3.255,3.153,3.153,9600.0,13401.0
2010-10-22,3.707,3.816,3.308,3.418,8800.0,13401.0
2010-10-25,3.373,3.373,3.373,3.373,9900.0,13401.0
2010-10-26,3.669,3.669,3.077,3.431,13200.0,13787.0
2010-10-27,3.431,3.431,3.191,3.308,9000.0,13979.0
2010-10-28,3.669,3.669,3.373,3.431,23100.0,14172.0
2010-10-29,3.431,3.488,3.431,3.488,15000.0,14751.0
2010-11-01,3.153,3.153,3.101,3.153,4900.0,14365.0
2010-11-02,3.044,3.044,3.044,3.044,6000.0,14076.0
2010-11-03,3.153,3.153,3.101,3.101,4800.0,14076.0
2010-11-04,3.101,3.101,3.101,3.101,0.0,14187.0
2010-11-05,3.101,3.153,3.101,3.153,7000.0,14669.0
2010-11-08,3.153,3.153,3.153,3.153,0.0,13994.0
2010-11-09,3.044,3.101,3.044,3.101,400.0,14090.0
2010-11-10,3.153,3.153,3.101,3.101,3800.0,14283.0
2010-11-11,3.044,3.044,2.992,3.044,2400.0,13994.0
2010-11-12,3.044,3.044,2.941,2.992,3300.0,13897.0
2010-11-15,2.941,2.941,2.832,2.941,6500.0,13511.0
2010-11-16,2.884,2.884,2.832,2.832,1600.0,13415.0
2010-11-17,2.671,2.722,2.671,2.671,51000.0,13222.0
2010-11-18,2.671,2.941,2.671,2.941,11500.0,13318.0
2010-11-19,3.135,3.135,3.135,3.135,43600.0,13125.0
2010-11-22,2.722,2.722,2.568,2.568,34100.0,13318.0
2010-11-23,3.135,3.135,3.135,3.135,100.0,13511.0
2010-11-24,2.671,2.671,2.671,2.671,800.0,13704.0
2010-11-25,2.941,2.941,2.941,2.941,100.0,13511.0
2010-11-26,2.941,3.044,2.941,3.044,3200.0,13222.0
2010-11-29,2.987,3.264,2.936,3.205,21100.0,13608.0
2010-11-30,3.255,3.366,3.101,3.153,5200.0,13511.0
2010-12-01,3.315,3.418,3.205,3.205,2900.0,13222.0
2010-12-02,3.701,3.701,3.089,3.315,20500.0,13318.0
2010-12-03,3.255,3.366,3.255,3.255,9000.0,13318.0
2010-12-06,3.418,3.418,3.153,3.153,4100.0,13222.0
2010-12-07,3.366,3.366,2.884,2.992,4200.0,13029.0
2010-12-08,2.581,2.671,2.343,2.671,24700.0,12932.0
2010-12-09,3.044,3.044,2.941,2.992,6200.0,13125.0
2010-12-10,3.264,3.264,3.044,3.153,9500.0,13222.0
2010-12-13,3.255,3.255,3.205,3.255,7700.0,13415.0
2010-12-14,3.044,3.101,2.992,3.101,6600.0,13318.0
2010-12-15,3.153,3.153,3.044,3.044,3300.0,13029.0
2010-12-16,2.992,2.992,2.941,2.941,9500.0,12643.0
2010-12-17,3.153,3.153,2.992,2.992,2087.0,12739.0
2010-12-20,2.941,2.941,2.884,2.941,21200.0,12739.0
2010-12-21,2.941,2.992,2.941,2.941,39200.0,12546.0
2010-12-22,2.941,2.941,2.832,2.884,40400.0,12450.0
2010-12-23,2.941,3.101,2.941,3.044,17000.0,12546.0
2010-12-24,3.044,3.315,2.992,3.315,12800.0,12450.0
2010-12-27,3.101,3.153,3.101,3.101,10200.0,12450.0
2010-12-28,3.315,3.366,3.205,3.205,11400.0,12546.0
2010-12-29,3.153,3.153,3.101,3.153,5400.0,12450.0
2010-12-30,2.926,3.028,2.826,3.028,15400.0,12257.0
2010-12-31,2.876,2.876,2.876,2.876,4800.0,12450.0
2011-01-04,2.876,2.876,2.826,2.876,6200.0,12257.0
2011-01-05,2.977,2.977,2.926,2.926,1700.0,12064.0
2011-01-06,3.028,3.028,2.926,3.028,6100.0,12064.0
2011-01-07,3.028,3.028,3.028,3.028,100.0,11967.0
2011-01-10,2.876,2.876,2.876,2.876,2000.0,12064.0
2011-01-11,3.028,3.028,2.977,2.977,2000.0,12064.0
2011-01-12,2.977,3.028,2.826,2.826,4500.0,11775.0
2011-01-13,2.926,3.028,2.876,3.028,18271.0,11678.0
2011-01-14,3.028,3.028,3.028,3.028,1000.0,12257.0
2011-01-17,3.028,3.028,3.028,3.028,0.0,12547.0
2011-01-18,2.876,2.876,2.876,2.876,3000.0,12547.0
2011-01-19,2.926,2.977,2.926,2.977,3300.0,12450.0
2011-01-20,3.179,3.179,2.876,2.876,64300.0,12257.0
2011-01-21,3.028,3.128,2.826,2.876,6600.0,12354.0
2011-01-24,2.826,2.826,2.626,2.626,9200.0,12161.0
2011-01-25,2.726,2.876,2.626,2.626,12600.0,12064.0
2011-01-26,2.926,2.926,2.926,2.926,200.0,11968.0
2011-01-27,3.128,3.128,3.128,3.128,200.0,12547.0
2011-01-28,2.826,2.876,2.826,2.876,5000.0,12161.0
2011-02-08,2.926,2.926,2.926,2.926,100.0,12257.0
2011-02-09,2.977,2.977,2.977,2.977,100.0,12161.0
2011-02-10,2.826,2.826,2.826,2.826,2000.0,12064.0
2011-02-11,2.926,2.926,2.926,2.926,100.0,11968.0
2011-02-14,2.977,2.977,2.876,2.876,7700.0,11871.0
2011-02-15,2.876,2.876,2.826,2.826,2500.0,11871.0
2011-02-16,2.977,2.977,2.977,2.977,100.0,11775.0
2011-02-17,2.776,2.826,2.776,2.776,24200.0,11775.0
2011-02-18,2.776,2.926,2.776,2.926,300.0,11196.0
2011-02-21,2.876,2.876,2.876,2.876,0.0,10713.0
2011-02-22,2.626,2.626,2.626,2.626,2500.0,10424.0
2011-02-23,2.776,2.876,2.776,2.876,200.0,10327.0
2011-02-24,2.876,2.876,2.876,2.876,100.0,10231.0
2011-02-25,2.876,2.876,2.876,2.876,0.0,10713.0
2011-02-28,2.926,2.926,2.926,2.926,0.0,10424.0
2011-03-01,2.926,2.926,2.926,2.926,0.0,10520.0
2011-03-02,2.676,2.676,2.676,2.676,400.0,10424.0
2011-03-03,2.826,2.826,2.826,2.826,100.0,10424.0
2011-03-04,2.575,2.826,2.575,2.575,6600.0,10424.0
2011-03-07,2.826,2.826,2.776,2.776,1200.0,10424.0
2011-03-08,2.876,2.876,2.676,2.676,900.0,10617.0
2011-03-09,2.676,2.676,2.626,2.626,600.0,10424.0
2011-03-10,2.876,2.876,2.372,2.474,1400.0,10520.0
2011-03-11,2.876,2.876,2.626,2.676,66624.0,10424.0
2011-03-14,2.676,2.726,2.474,2.626,8300.0,10231.0
2011-03-15,2.524,2.776,2.474,2.776,2700.0,10134.0
2011-03-16,2.876,2.876,2.876,2.876,500.0,10134.0
2011-03-17,2.626,2.726,2.626,2.626,9700.0,10038.0
2011-03-18,2.726,2.826,2.726,2.776,9200.0,10231.0
2011-03-21,2.676,2.676,2.575,2.626,12100.0,10231.0
2011-03-22,2.876,2.876,2.575,2.575,400.0,10231.0
2011-03-23,2.575,2.676,2.575,2.676,3400.0,10327.0
2011-03-24,2.626,2.726,2.626,2.726,4600.0,10231.0
2011-03-25,2.676,2.676,2.676,2.676,11000.0,10134.0
2011-03-28,2.726,2.926,2.626,2.626,2400.0,10038.0
2011-03-29,2.726,2.726,2.676,2.676,700.0,9941.0
2011-03-30,2.575,2.676,2.575,2.626,1700.0,9845.0
2011-03-31,2.726,2.726,2.575,2.575,2800.0,9845.0
2011-04-01,2.726,2.726,2.726,2.726,2000.0,9632.0
2011-04-04,2.926,2.926,2.926,2.926,100.0,10038.0
2011-04-05,2.676,2.676,2.676,2.676,10600.0,10520.0
2011-04-06,2.726,2.726,2.726,2.726,100.0,11003.0
2011-04-07,2.977,2.977,2.676,2.676,10100.0,11099.0
2011-04-08,2.626,2.626,2.626,2.626,4000.0,11099.0
2011-04-13,2.876,2.876,2.876,2.876,100.0,10617.0
2011-04-14,2.626,2.626,2.626,2.626,300.0,10231.0
2011-04-15,2.626,2.626,2.626,2.626,5700.0,10231.0
2011-04-18,2.626,2.626,2.626,2.626,6000.0,9941.0
2011-04-19,2.626,2.626,2.626,2.626,4000.0,9845.0
2011-04-20,2.423,2.423,2.423,2.423,2000.0,9748.0
2011-04-21,2.626,2.626,2.626,2.626,100.0,9748.0
2011-04-22,2.776,2.776,2.776,2.776,100.0,9632.0
2011-04-25,2.776,2.776,2.776,2.776,0.0,10037.0
2011-04-26,2.776,2.776,2.776,2.776,0.0,9844.0
2011-04-27,2.776,2.776,2.776,2.776,0.0,9844.0
2011-04-28,2.776,2.776,2.776,2.776,0.0,9747.0
2011-04-29,2.726,2.726,2.726,2.726,4000.0,9844.0
2011-05-04,2.511,2.778,2.511,2.778,800.0,9941.0
2011-05-05,2.778,2.778,2.511,2.511,1100.0,9941.0
2011-05-06,2.726,2.726,2.672,2.672,1100.0,10037.0
2011-05-09,2.939,2.939,2.939,2.939,100.0,10230.0
2011-05-10,2.939,2.939,2.939,2.939,0.0,10230.0
2011-05-11,2.939,2.939,2.939,2.939,0.0,10134.0
2011-05-12,2.939,2.939,2.939,2.939,0.0,10134.0
2011-05-13,2.939,2.939,2.939,2.939,0.0,10134.0
2011-05-16,2.672,2.672,2.672,2.672,400.0,9941.0
2011-05-17,2.672,2.672,2.672,2.672,0.0,9941.0
2011-05-18,2.672,2.672,2.672,2.672,0.0,9844.0
2011-05-19,2.459,2.511,2.459,2.511,2000.0,9941.0
2011-05-20,2.299,2.299,2.299,2.299,1000.0,9747.0
2011-05-23,2.299,2.299,2.299,2.299,5600.0,9265.0
2011-05-24,2.299,2.299,2.299,2.299,0.0,8802.0
2011-05-25,2.511,2.511,2.511,2.511,100.0,8377.0
2011-05-26,2.511,2.511,2.511,2.511,0.0,8782.0
2011-05-27,2.726,2.726,2.726,2.726,100.0,8802.0
2011-05-30,2.726,2.726,2.726,2.726,0.0,8744.0
2011-05-31,2.726,2.726,2.726,2.726,0.0,8744.0
2011-06-01,2.459,2.459,2.459,2.459,1000.0,9168.0
2011-06-02,2.404,2.404,2.404,2.404,100.0,9612.0
2011-06-03,2.404,2.404,2.404,2.404,0.0,9747.0
2011-06-06,2.618,2.618,2.618,2.618,300.0,9651.0
2011-06-07,2.618,2.618,2.618,2.618,0.0,10037.0
2011-06-08,2.618,2.618,2.618,2.618,2500.0,9844.0
