timestamp,open,high,low,close,volume,MarketCapital
2009-10-21,3.544,3.544,3.544,3.544,10.0,12798.0
2009-10-22,3.721,3.721,3.721,3.721,20.0,13014.0
2009-10-23,3.908,3.908,3.908,3.908,18340.0,12870.0
2009-10-26,4.1,4.1,4.067,4.1,239720.0,12798.0
2009-10-27,4.304,4.304,4.117,4.304,203850.0,12655.0
2009-10-28,4.513,4.513,4.513,4.513,18310.0,12583.0
2009-10-29,4.642,4.642,4.304,4.472,168190.0,12223.0
2009-10-30,4.472,4.472,4.261,4.261,84680.0,12367.0
2009-11-02,4.051,4.051,4.051,4.051,8120.0,11792.0
2009-11-03,3.849,3.849,3.849,3.849,3730.0,11648.0
2009-11-04,3.663,4.034,3.663,3.663,89870.0,11792.0
2009-11-05,3.561,3.663,3.485,3.485,55360.0,12151.0
2009-11-06,3.646,3.646,3.493,3.501,62930.0,11792.0
2009-11-09,3.374,3.518,3.333,3.333,21010.0,11720.0
2009-11-10,3.29,3.29,3.172,3.172,53290.0,11504.0
2009-11-11,3.044,3.29,3.044,3.29,16290.0,11792.0
2009-11-12,3.265,3.333,3.258,3.29,23100.0,12079.0
2009-11-13,3.248,3.29,3.18,3.18,13470.0,12079.0
2009-11-16,3.164,3.308,3.08,3.08,72970.0,11794.0
2009-11-17,3.23,3.23,3.23,3.23,27590.0,11866.0
2009-11-18,3.392,3.392,3.374,3.392,65330.0,11938.0
2009-11-19,3.509,3.509,3.416,3.416,31310.0,12082.0
2009-11-20,3.29,3.46,3.248,3.265,29580.0,12082.0
2009-11-23,3.156,3.29,3.103,3.103,28630.0,11794.0
2009-11-24,3.103,3.114,2.995,2.995,24720.0,11507.0
2009-11-25,2.995,2.995,2.852,2.852,15560.0,10931.0
2009-11-26,2.742,2.886,2.717,2.717,48130.0,10428.0
2009-11-27,2.582,2.852,2.582,2.844,28820.0,10931.0
2009-11-30,2.868,2.868,2.751,2.827,6970.0,11435.0
2009-12-01,2.844,2.96,2.844,2.954,32970.0,11435.0
2009-12-02,2.895,2.895,2.81,2.81,38840.0,11219.0
2009-12-03,2.81,2.81,2.684,2.684,15140.0,10931.0
2009-12-04,2.684,2.684,2.582,2.591,7060.0,10931.0
2009-12-07,2.709,2.717,2.616,2.717,23950.0,11147.0
2009-12-08,2.852,2.852,2.742,2.852,46270.0,11003.0
2009-12-09,2.76,2.76,2.717,2.717,17050.0,10572.0
2009-12-10,2.818,2.818,2.582,2.582,32680.0,10500.0
2009-12-11,2.472,2.582,2.455,2.455,17470.0,10356.0
2009-12-14,2.405,2.575,2.405,2.414,15720.0,10644.0
2009-12-15,2.48,2.48,2.354,2.371,16300.0,10715.0
2009-12-16,2.464,2.464,2.269,2.269,31360.0,10356.0
2009-12-17,2.176,2.193,2.168,2.168,15130.0,10068.0
2009-12-18,2.193,2.269,2.193,2.269,19780.0,9637.0
2009-12-21,2.38,2.38,2.38,2.38,12520.0,10068.0
2009-12-22,2.245,2.431,2.245,2.363,21310.0,10572.0
2009-12-23,2.455,2.455,2.363,2.431,8940.0,11075.0
2009-12-24,2.49,2.49,2.335,2.414,13440.0,11363.0
2009-12-25,2.524,2.532,2.464,2.507,13190.0,11650.0
2009-12-28,2.48,2.48,2.414,2.414,33960.0,11363.0
2009-12-29,2.38,2.447,2.38,2.42,7030.0,11075.0
2009-12-30,2.431,2.524,2.396,2.515,19840.0,11219.0
2009-12-31,2.616,2.616,2.431,2.565,25370.0,11363.0
2010-01-04,2.684,2.692,2.684,2.692,16060.0,11866.0
2010-01-05,2.81,2.818,2.742,2.742,14190.0,11866.0
2010-01-06,2.767,2.767,2.625,2.625,5760.0,11650.0
2010-01-07,2.7,2.7,2.616,2.616,9470.0,11578.0
2010-01-08,2.66,2.7,2.498,2.498,33410.0,11219.0
2010-01-11,2.555,2.616,2.455,2.616,25040.0,11147.0
2010-01-12,2.582,2.616,2.49,2.49,4960.0,10931.0
2010-01-13,2.575,2.575,2.414,2.447,14980.0,11291.0
2010-01-14,2.565,2.565,2.42,2.532,8820.0,11363.0
2010-01-15,2.455,2.455,2.447,2.447,4300.0,11147.0
