timestamp,open,high,low,close,volume,MarketCapital
2010-03-02,3.251,3.251,3.251,3.251,10.0,11507.0
2010-03-03,3.415,3.415,3.415,3.415,10.0,11650.0
2010-03-04,3.415,3.415,3.415,3.415,10.0,11866.0
2010-03-05,3.576,3.576,3.576,3.576,1110.0,11794.0
2010-03-08,3.752,3.752,3.752,3.752,20.0,11866.0
2010-03-09,3.93,3.93,3.93,3.93,120.0,12082.0
2010-03-10,4.118,4.118,4.118,4.118,2310.0,12657.0
2010-03-11,4.321,4.321,4.321,4.321,1080.0,12801.0
2010-03-12,4.526,4.526,4.526,4.526,9110.0,12801.0
2010-03-15,4.742,4.742,4.742,4.742,12000.0,12657.0
2010-03-16,4.972,4.972,4.972,4.972,17150.0,12082.0
2010-03-17,5.216,5.216,5.216,5.216,32910.0,12154.0
2010-03-18,5.474,5.474,5.216,5.42,51450.0,12441.0
2010-03-19,5.216,5.42,5.149,5.149,12960.0,12370.0
2010-03-22,5.149,5.149,4.891,5.081,8800.0,12082.0
2010-03-23,5.216,5.216,4.972,5.081,4300.0,11938.0
2010-03-24,4.903,5.081,4.837,4.837,22130.0,12226.0
2010-03-25,4.81,4.81,4.605,4.605,4040.0,12010.0
2010-03-26,4.403,4.742,4.403,4.742,21540.0,11938.0
2010-03-29,4.864,4.864,4.864,4.864,3020.0,12154.0
2010-03-30,4.673,4.673,4.647,4.647,6420.0,12010.0
2010-03-31,4.243,4.243,4.128,4.128,11840.0,12010.0
2010-04-01,4.268,4.605,4.228,4.403,3560.0,12226.0
2010-04-02,4.363,4.58,4.335,4.58,2670.0,12370.0
2010-04-05,4.539,4.605,4.539,4.605,2250.0,12370.0
2010-04-06,4.43,4.471,4.43,4.471,4380.0,12370.0
2010-04-07,4.444,4.444,4.349,4.349,6410.0,12441.0
2010-04-08,4.335,4.335,4.268,4.296,3350.0,12370.0
2010-04-09,4.308,4.498,4.308,4.498,4110.0,12370.0
2010-04-12,4.605,4.605,4.605,4.605,4150.0,12513.0
2010-04-13,4.471,4.605,4.403,4.403,12430.0,12513.0
2010-04-14,4.268,4.605,4.268,4.605,3940.0,12585.0
2010-04-15,4.605,4.605,4.605,4.605,3000.0,12585.0
2010-04-16,4.539,4.539,4.376,4.376,10200.0,12513.0
2010-04-19,4.159,4.2,4.159,4.159,11240.0,12370.0
2010-04-20,4.2,4.363,4.2,4.363,9800.0,12370.0
2010-04-21,4.553,4.553,4.553,4.553,10.0,12370.0
