timestamp,open,high,low,close,volume,MarketCapital
2008-12-22,5.616,5.616,3.088,3.116,6800.0,7274.0
2008-12-23,3.546,3.546,3.546,3.546,1000.0,7006.0
2008-12-24,3.778,3.778,3.778,3.778,200.0,6921.0
2008-12-25,4.034,4.034,4.034,4.034,100.0,6921.0
2008-12-26,4.164,4.315,4.164,4.315,3900.0,6855.0
2008-12-29,4.57,4.57,4.57,4.57,1500.0,6841.0
2008-12-30,4.875,4.875,4.875,4.875,400.0,7108.0
2008-12-31,5.209,5.209,4.541,4.541,3700.0,7038.0
2009-01-02,4.492,4.825,4.492,4.825,1400.0,7038.0
2009-01-05,4.57,4.57,4.57,4.57,500.0,7038.0
2009-01-06,4.57,4.57,4.57,4.57,0.0,7249.0
2009-01-07,4.467,4.467,4.265,4.265,500.0,7482.0
2009-01-08,4.337,4.337,4.337,4.337,200.0,7270.0
2009-01-09,4.062,4.57,4.062,4.57,900.0,7129.0
2009-01-12,4.337,4.337,3.902,3.902,200.0,7129.0
2009-01-13,3.851,4.083,3.851,4.083,300.0,7044.0
2009-01-14,3.676,3.676,3.676,3.676,900.0,7199.0
2009-01-15,3.931,3.931,3.829,3.829,700.0,7058.0
2009-01-16,3.954,4.111,3.954,3.954,700.0,7129.0
2009-01-19,4.083,4.083,4.083,4.083,200.0,7129.0
2009-01-20,4.133,4.133,4.133,4.133,100.0,7044.0
2009-01-21,4.083,4.083,4.083,4.083,100.0,7016.0
2009-01-22,3.801,3.829,3.801,3.829,400.0,7129.0
2009-01-23,3.624,3.624,3.575,3.575,2200.0,7129.0
2009-02-02,3.445,3.445,3.445,3.445,1000.0,6846.0
2009-02-03,3.219,3.676,3.219,3.676,300.0,6578.0
2009-02-04,3.525,3.575,3.525,3.575,600.0,6705.0
2009-02-05,3.575,3.575,3.525,3.525,300.0,6564.0
2009-02-06,3.624,3.624,3.624,3.624,100.0,6705.0
2009-02-09,3.829,3.829,3.829,3.829,100.0,6959.0
2009-02-10,3.829,3.829,3.829,3.829,0.0,6776.0
2009-02-11,3.954,3.954,3.954,3.954,100.0,6649.0
2009-02-12,3.954,3.954,3.954,3.954,0.0,6635.0
2009-02-13,3.954,3.954,3.954,3.954,0.0,6578.0
2009-02-16,3.88,3.954,3.699,3.699,1500.0,6395.0
2009-02-17,3.598,3.598,3.598,3.598,400.0,6084.0
2009-02-18,3.598,3.598,3.598,3.598,0.0,5929.0
2009-02-19,3.575,3.575,3.575,3.575,500.0,5929.0
2009-02-20,3.699,3.699,3.699,3.699,100.0,5872.0
2009-02-23,3.699,3.699,3.699,3.699,5000.0,5590.0
2009-02-24,3.575,3.575,3.575,3.575,500.0,5322.0
2009-02-25,3.575,3.575,3.575,3.575,0.0,5576.0
2009-02-26,3.546,3.546,3.546,3.546,500.0,5788.0
2009-02-27,3.546,3.546,3.546,3.546,0.0,6056.0
2009-03-02,3.321,3.321,3.321,3.321,200.0,6155.0
2009-03-03,3.191,3.191,3.191,3.191,1000.0,5858.0
2009-03-04,3.191,3.191,3.191,3.191,0.0,5915.0
2009-03-05,3.393,3.393,3.393,3.393,2000.0,6070.0
2009-03-06,3.393,3.393,3.393,3.393,0.0,6098.0
2009-03-09,3.321,3.321,3.321,3.321,1500.0,6225.0
2009-03-10,3.321,3.321,3.321,3.321,0.0,6268.0
2009-03-11,3.445,3.445,3.445,3.445,1100.0,6352.0
2009-03-12,3.546,3.546,3.445,3.445,1100.0,6126.0
2009-03-13,3.445,3.445,3.445,3.445,0.0,6126.0
2009-03-16,3.445,3.445,3.445,3.445,0.0,6211.0
2009-03-17,3.445,3.445,3.445,3.445,0.0,6437.0
2009-03-18,3.648,3.676,3.445,3.575,6500.0,6748.0
2009-03-19,3.749,3.749,3.749,3.749,500.0,6423.0
2009-03-20,3.749,3.749,3.749,3.749,0.0,6423.0
2009-03-23,3.495,3.495,3.495,3.495,200.0,6211.0
2009-03-24,3.343,3.343,3.27,3.27,8100.0,6522.0
2009-03-25,3.066,3.525,3.066,3.525,2800.0,6832.0
2009-03-26,3.015,3.015,3.015,3.015,5300.0,7044.0
2009-03-27,3.015,3.015,3.015,3.015,0.0,6776.0
2009-03-30,3.219,3.219,3.219,3.219,200.0,6451.0
2009-03-31,3.422,3.422,3.422,3.422,3400.0,6338.0
2009-04-01,3.575,3.598,3.575,3.598,5000.0,6649.0
2009-04-02,3.829,3.829,3.829,3.829,1000.0,6973.0
2009-04-03,3.981,3.981,3.575,3.648,4300.0,7270.0
2009-04-07,3.699,3.829,3.699,3.778,5900.0,7623.0
2009-04-08,3.575,3.575,3.575,3.575,2000.0,7340.0
2009-04-09,3.801,3.801,3.801,3.801,2100.0,7340.0
2009-04-10,3.851,4.062,3.851,4.062,8600.0,7693.0
2009-04-13,4.236,4.265,4.213,4.265,8800.0,8046.0
2009-04-14,4.519,4.519,4.519,4.519,800.0,8399.0
2009-04-15,4.57,4.57,4.337,4.337,3100.0,8117.0
2009-04-16,4.592,4.592,4.592,4.592,3000.0,8187.0
2009-04-17,4.288,4.288,4.288,4.288,3000.0,7834.0
2009-04-20,4.083,4.265,4.01,4.265,3100.0,7482.0
