timestamp,open,high,low,close,volume,MarketCapital
2009-06-18,10.256,10.256,10.256,10.256,3000.0,10093.0
2009-06-19,10.806,10.806,10.806,10.806,1010.0,10587.0
2009-06-22,11.556,11.556,11.381,11.556,213500.0,10093.0
2009-06-23,12.081,12.081,11.556,11.556,197450.0,9670.0
2009-06-24,11.556,11.6,10.988,10.988,81740.0,10093.0
2009-06-25,10.943,11.03,10.463,10.463,37430.0,10164.0
2009-06-26,9.984,9.984,9.984,9.984,11920.0,10375.0
2009-06-29,9.502,9.502,9.502,9.502,10870.0,10305.0
2009-06-30,9.065,9.065,9.065,9.065,8630.0,9881.0
2009-07-01,8.623,8.623,8.623,8.623,2250.0,9458.0
2009-07-02,8.229,8.229,8.229,8.229,75870.0,9811.0
2009-07-03,7.835,8.623,7.835,8.36,58710.0,9952.0
2009-07-06,8.36,8.535,8.098,8.404,54660.0,10375.0
2009-07-07,8.011,8.229,8.011,8.055,46060.0,10234.0
2009-07-08,7.879,8.098,7.66,8.098,23860.0,10164.0
2009-07-09,8.098,8.317,8.055,8.14,14990.0,10023.0
2009-07-10,8.098,8.317,8.098,8.098,9160.0,10023.0
2009-07-13,8.14,8.14,7.791,8.011,25080.0,10023.0
2009-07-14,8.011,8.011,7.616,7.66,16380.0,9881.0
2009-07-15,8.011,8.011,7.747,7.835,5360.0,10093.0
2009-07-16,8.185,8.185,8.055,8.14,35230.0,10164.0
2009-07-17,7.879,7.923,7.879,7.879,8720.0,10164.0
2009-07-20,7.66,7.879,7.529,7.791,18190.0,9952.0
2009-07-21,7.791,7.967,7.791,7.835,4760.0,10164.0
2009-07-22,7.835,7.835,7.703,7.835,12730.0,10164.0
2009-07-23,7.835,8.055,7.835,7.879,6700.0,10305.0
2009-07-24,8.273,8.273,8.098,8.273,82030.0,10799.0
2009-07-27,8.665,8.665,8.36,8.491,51220.0,10869.0
2009-07-28,8.098,8.535,8.098,8.14,22570.0,10587.0
2009-07-29,8.011,8.185,8.011,8.098,38390.0,10587.0
2009-07-30,7.967,7.967,7.879,7.879,19950.0,10587.0
2009-07-31,8.098,8.098,7.879,7.967,20790.0,10799.0
2009-08-03,7.791,7.879,7.791,7.835,25320.0,10799.0
2009-08-04,8.011,8.011,7.835,7.835,30660.0,10940.0
2009-08-05,7.791,8.011,7.791,8.011,31270.0,10940.0
2009-08-06,7.967,8.14,7.967,8.098,21300.0,11011.0
2009-08-07,8.055,8.055,7.879,7.879,34420.0,11011.0
2009-08-10,8.185,8.185,7.879,8.14,48120.0,11222.0
2009-08-11,8.098,8.098,8.055,8.098,14880.0,11222.0
2009-08-12,7.923,8.098,7.923,7.923,38040.0,11293.0
2009-08-13,7.923,8.055,7.923,7.967,38360.0,11364.0
2009-08-14,8.055,8.055,7.923,8.055,66180.0,11293.0
2009-08-17,8.404,8.449,8.404,8.449,109270.0,11222.0
2009-08-18,8.802,8.802,8.665,8.759,146440.0,11152.0
2009-08-19,8.802,8.845,8.577,8.665,57990.0,11504.0
