timestamp,open,high,low,close,volume,MarketCapital
2006-12-13,2.387,2.484,2.387,2.387,2200.0,24324.0
2006-12-14,2.387,2.405,2.387,2.405,7600.0,25540.0
2006-12-15,2.405,2.405,2.401,2.401,5250.0,26817.0
2006-12-18,2.484,2.511,2.484,2.484,8570.0,28155.0
2006-12-19,2.551,2.629,2.551,2.551,14330.0,29554.0
2006-12-20,2.608,2.616,2.608,2.608,6390.0,31013.0
2006-12-21,2.608,2.608,2.498,2.498,3670.0,29493.0
2006-12-22,2.496,2.496,2.418,2.464,2860.0,28034.0
2006-12-25,2.451,2.451,2.367,2.451,1850.0,26635.0
2006-12-26,2.484,2.544,2.484,2.544,950.0,27912.0
2006-12-27,2.563,2.648,2.563,2.563,2900.0,29189.0
2006-12-28,2.563,2.616,2.517,2.517,3210.0,29189.0
2006-12-29,2.583,2.583,2.583,2.583,600.0,27973.0
2007-01-02,2.608,2.616,2.608,2.608,6860.0,26757.0
2007-01-03,2.608,2.608,2.583,2.583,2750.0,27365.0
2007-01-04,2.583,2.617,2.576,2.617,5390.0,28702.0
2007-01-05,2.746,2.746,2.746,2.746,12400.0,30101.0
2007-01-08,2.876,2.876,2.876,2.876,11380.0,29797.0
2007-01-09,2.844,2.844,2.746,2.844,13150.0,29797.0
2007-01-10,2.812,2.812,2.715,2.715,8100.0,30101.0
2007-01-11,2.844,2.844,2.844,2.844,8650.0,30405.0
2007-01-12,2.844,2.844,2.732,2.844,1650.0,31925.0
2007-01-15,2.844,2.844,2.813,2.813,4740.0,33506.0
2007-01-16,2.808,2.808,2.808,2.808,200.0,35148.0
2007-01-17,2.883,2.89,2.845,2.845,1700.0,33446.0
2007-01-18,2.845,2.883,2.845,2.883,690.0,33506.0
2007-01-19,2.808,2.808,2.739,2.808,3150.0,35148.0
2007-01-22,2.805,2.805,2.77,2.77,1190.0,36486.0
2007-01-23,2.731,2.731,2.663,2.731,1700.0,36608.0
2007-01-24,2.731,2.731,2.731,2.731,1640.0,35270.0
2007-01-25,2.731,2.731,2.678,2.678,2740.0,35270.0
2007-01-26,2.808,2.808,2.808,2.808,1300.0,35270.0
