timestamp,open,high,low,close,volume,MarketCapital
2018-12-10,14.82,14.82,14.82,14.82,3200.0,27119.0
2018-12-11,15.826,15.826,15.826,15.826,1100.0,27027.0
2018-12-12,16.924,16.924,16.924,16.924,1000.0,27272.0
2018-12-13,18.105,18.105,18.058,18.058,4860.0,27365.0
2018-12-14,19.287,19.287,19.287,19.287,110.0,27088.0
2018-12-17,17.964,17.964,17.964,17.964,600.0,26383.0
2018-12-18,16.735,16.735,16.735,16.735,140.0,25769.0
2018-12-19,16.735,16.735,16.735,16.735,0.0,25831.0
2018-12-20,15.6,15.6,15.6,15.6,10.0,25800.0
2018-12-21,14.513,14.513,14.513,14.513,2410.0,26076.0
2018-12-24,13.52,13.52,13.52,13.52,10.0,25769.0
2018-12-25,12.575,12.575,12.575,12.575,50.0,25463.0
2018-12-26,11.724,11.724,11.724,11.724,520.0,25401.0
2018-12-27,10.92,12.527,10.92,10.92,1070.0,25647.0
2018-12-28,10.211,11.676,10.164,10.164,590.0,25892.0
2019-01-02,10.873,10.873,9.455,10.873,1360.0,25278.0
2019-01-03,11.582,11.582,11.582,11.582,70.0,25033.0
2019-01-04,12.244,12.244,12.244,12.244,10.0,25217.0
2019-01-07,12.244,12.244,12.244,12.244,0.0,25647.0
2019-01-08,12.244,12.244,12.244,12.244,0.0,25769.0
2019-01-09,12.244,12.244,12.244,12.244,0.0,26015.0
2019-01-10,12.244,12.244,12.244,12.244,0.0,25861.0
2019-01-11,12.244,12.244,12.244,12.244,0.0,25892.0
2019-01-14,11.393,11.393,11.393,11.393,10.0,26076.0
2019-01-15,11.393,11.393,11.393,11.393,0.0,26260.0
2019-01-16,11.393,11.393,11.393,11.393,0.0,26107.0
2019-01-17,11.393,11.393,11.393,11.393,0.0,25769.0
2019-01-18,10.636,10.636,10.636,10.636,10.0,25769.0
2019-01-21,9.927,9.927,9.927,9.927,130.0,26076.0
2019-01-22,9.237,10.589,9.237,10.589,230.0,25984.0
2019-01-23,10.589,10.589,10.589,10.589,0.0,25984.0
2019-01-24,9.88,9.88,9.88,9.88,1000.0,26045.0
2019-01-25,9.19,9.88,9.19,9.19,160.0,26015.0
2019-01-28,8.547,9.738,8.547,9.738,480.0,25831.0
2019-01-29,10.4,10.4,9.738,9.738,100.0,26076.0
2019-01-30,9.88,9.88,9.88,9.88,10.0,26506.0
2019-01-31,9.927,9.927,9.927,9.927,10.0,26506.0
2019-02-01,9.927,9.927,9.927,9.927,0.0,26137.0
2019-02-11,9.927,9.927,9.237,9.237,610.0,27088.0
2019-02-12,8.594,9.833,8.594,9.833,1970.0,26935.0
2019-02-13,10.495,10.495,10.116,10.116,110.0,27334.0
2019-02-14,10.4,10.4,9.417,9.417,90.0,27150.0
2019-02-15,8.764,9.644,8.764,8.764,680.0,27119.0
2019-02-18,8.982,8.982,8.764,8.764,40.0,27242.0
2019-02-19,8.159,8.169,8.159,8.169,570.0,27242.0
2019-02-20,8.698,8.698,7.611,7.62,40.0,27518.0
2019-02-21,7.091,8.131,7.091,8.036,50.0,27487.0
2019-02-22,7.479,8.509,7.479,7.479,280.0,27733.0
2019-02-25,6.959,7.999,6.959,7.942,30.0,27917.0
2019-02-26,8.415,8.49,8.415,8.481,200.0,27733.0
2019-02-27,9.048,9.048,8.887,8.982,300.0,27671.0
2019-02-28,8.982,9.36,8.982,9.36,110.0,27119.0
2019-03-01,9.407,9.455,8.982,9.455,680.0,27365.0
2019-03-04,9.833,9.833,9.076,9.076,150.0,27610.0
2019-03-05,9.076,9.076,9.076,9.076,100.0,27549.0
2019-03-06,9.076,9.076,9.076,9.076,0.0,27365.0
2019-03-07,9.076,9.076,9.076,9.076,10.0,27457.0
2019-03-08,9.076,9.076,9.076,9.076,0.0,27395.0
2019-03-11,9.076,9.076,9.076,9.076,0.0,27303.0
2019-03-12,9.265,9.265,9.265,9.265,1000.0,28530.0
2019-03-13,9.455,9.455,9.455,9.455,100.0,28346.0
2019-03-14,9.455,9.455,9.455,9.455,0.0,28377.0
2019-03-15,9.455,9.455,9.455,9.455,100.0,28224.0
2019-03-18,9.455,9.455,9.455,9.455,0.0,28346.0
2019-03-19,9.455,9.455,9.455,9.455,0.0,28039.0
2019-03-20,9.455,9.455,9.455,9.455,80.0,27886.0
2019-03-21,10.116,10.116,9.455,9.455,100.0,27671.0
2019-03-22,9.455,9.455,9.455,9.455,20.0,27641.0
2019-03-25,10.116,10.116,10.116,10.116,560.0,27242.0
2019-03-26,10.116,10.116,10.116,10.116,0.0,27457.0
2019-03-27,10.778,10.778,10.778,10.778,760.0,27610.0
2019-03-28,11.487,11.487,11.487,11.487,20.0,27702.0
