date,open,high,low,close
2000-07-28T00:00:00,100.0,100.0,100.0,100.0
2000-07-31T00:00:00,101.55,101.55,101.55,101.55
2000-08-02T00:00:00,103.38,103.38,103.38,103.38
2000-08-04T00:00:00,105.2,105.2,105.2,105.2
2000-08-07T00:00:00,106.92,106.92,106.92,106.92
2000-08-09T00:00:00,108.64,108.64,108.64,108.64
2000-08-11T00:00:00,110.36,110.36,110.36,110.36
2000-08-14T00:00:00,112.08,112.08,112.08,112.08
2000-08-16T00:00:00,113.8,113.8,113.8,113.8
2000-08-18T00:00:00,115.52,115.52,115.52,115.52
2000-08-21T00:00:00,117.24,117.24,117.24,117.24
2000-08-23T00:00:00,118.96,118.96,118.96,118.96
2000-08-25T00:00:00,118.84,118.84,118.84,118.84
2000-08-28T00:00:00,117.0,117.0,117.0,117.0
2000-08-30T00:00:00,115.15,115.15,115.15,115.15
2000-09-01T00:00:00,113.37,113.37,113.37,113.37
2000-09-06T00:00:00,112.51,112.51,112.51,112.51
2000-09-08T00:00:00,112.39,112.39,112.39,112.39
2000-09-11T00:00:00,114.11,114.11,114.11,114.11
2000-09-13T00:00:00,116.08,116.08,116.08,116.08
2000-09-15T00:00:00,118.04,118.04,118.04,118.04
2000-09-18T00:00:00,118.19,118.19,118.19,118.19
2000-09-20T00:00:00,118.21,118.21,118.21,118.21
2000-09-22T00:00:00,118.76,118.76,118.76,118.76
2000-09-25T00:00:00,118.98,118.98,118.98,118.98
2000-09-27T00:00:00,119.69,119.69,119.69,119.69
2000-09-29T00:00:00,120.71,120.71,120.71,120.71
2000-10-02T00:00:00,120.92,120.92,120.92,120.92
2000-10-04T00:00:00,121.14,121.14,121.14,121.14
2000-10-06T00:00:00,122.21,122.21,122.21,122.21
2000-10-09T00:00:00,124.33,124.33,124.33,124.33
2000-10-11T00:00:00,126.45,126.45,126.45,126.45
2000-10-13T00:00:00,128.57,128.57,128.57,128.57
2000-10-16T00:00:00,130.71,130.71,130.71,130.71
2000-10-18T00:00:00,132.85,132.85,132.85,132.85
2000-10-20T00:00:00,135.04,135.04,135.04,135.04
2000-10-23T00:00:00,136.55,136.55,136.55,136.55
2000-10-25T00:00:00,137.08,137.08,137.08,137.08
2000-10-27T00:00:00,139.57,139.57,139.57,139.57
2000-10-30T00:00:00,140.84,140.84,140.84,140.84
2000-11-01T00:00:00,143.33,143.33,143.33,143.33
2000-11-03T00:00:00,145.83,145.83,145.83,145.83
2000-11-06T00:00:00,148.57,148.57,148.57,148.57
2000-11-08T00:00:00,151.32,151.32,151.32,151.32
2000-11-10T00:00:00,154.08,154.08,154.08,154.08
2000-11-13T00:00:00,156.84,156.84,156.84,156.84
2000-11-15T00:00:00,159.6,159.6,159.6,159.6
2000-11-17T00:00:00,162.36,162.36,162.36,162.36
2000-11-20T00:00:00,165.7,165.7,165.7,165.7
2000-11-22T00:00:00,165.52,165.52,165.52,165.52
2000-11-24T00:00:00,166.17,166.17,166.17,166.17
2000-11-27T00:00:00,165.6,165.6,165.6,165.6
2000-11-29T00:00:00,168.73,168.73,168.73,168.73
2000-12-01T00:00:00,171.87,171.87,171.87,171.87
2000-12-04T00:00:00,175.0,175.0,175.0,175.0
2000-12-06T00:00:00,178.13,178.13,178.13,178.13
2000-12-08T00:00:00,181.26,181.26,181.26,181.26
2000-12-11T00:00:00,189.94,189.94,189.94,189.94
2000-12-13T00:00:00,184.48,184.48,184.48,184.48
2000-12-15T00:00:00,187.62,187.62,187.62,187.62
2000-12-18T00:00:00,191.11,191.11,191.11,191.11
2000-12-20T00:00:00,194.85,194.85,194.85,194.85
2000-12-22T00:00:00,198.58,198.58,198.58,198.58
2000-12-25T00:00:00,202.32,202.32,202.32,202.32
2000-12-27T00:00:00,203.09,203.09,203.09,203.09
2000-12-29T00:00:00,206.83,206.83,206.83,206.83
2001-01-03T00:00:00,210.56,210.56,210.56,210.56
2001-01-05T00:00:00,214.32,214.32,214.32,214.32
