timestamp,open,high,low,close,volume,MarketCapital
2008-07-29,7.585,7.585,7.585,7.585,6080.0,5964.0
2008-07-30,7.365,7.365,7.365,7.365,1340.0,6104.0
2008-07-31,7.158,7.158,7.158,7.158,1060.0,6244.0
2008-08-01,6.954,6.954,6.954,6.954,60.0,6430.0
2008-08-04,6.747,6.747,6.747,6.747,50.0,6244.0
2008-08-05,6.558,6.558,6.558,6.558,10.0,6058.0
2008-08-06,6.367,6.367,6.367,6.367,20.0,6197.0
2008-08-07,6.18,6.18,6.18,6.18,10.0,6337.0
2008-08-08,6.006,6.006,6.006,6.006,10.0,6523.0
2008-08-11,5.848,6.18,5.83,5.83,71510.0,6710.0
2008-08-12,5.66,5.671,5.66,5.66,36830.0,6896.0
2008-08-13,5.5,5.5,5.5,5.5,2880.0,7083.0
2008-08-14,5.339,5.66,5.339,5.66,384410.0,7269.0
2008-08-15,5.766,5.815,5.66,5.815,164690.0,7455.0
2008-08-18,5.563,5.595,5.532,5.532,31260.0,7828.0
2008-08-19,5.278,5.278,5.264,5.264,29310.0,8201.0
2008-08-20,5.008,5.008,5.008,5.008,32610.0,8574.0
2008-08-21,4.771,4.771,4.771,4.771,35130.0,8993.0
2008-08-22,4.536,5.008,4.536,4.992,280120.0,9412.0
2008-08-25,5.233,5.233,4.964,5.233,150850.0,9878.0
2008-08-26,5.482,5.482,5.482,5.482,64420.0,10344.0
2008-08-27,5.752,5.752,5.452,5.687,144270.0,10810.0
2008-08-28,5.403,5.403,5.403,5.403,22770.0,11276.0
2008-08-29,5.135,5.135,5.135,5.135,2080.0,11276.0
2008-09-03,5.071,5.355,4.884,4.884,152920.0,11835.0
2008-09-04,4.66,4.835,4.66,4.74,129190.0,12395.0
2008-09-05,4.584,4.74,4.553,4.584,129570.0,11835.0
2008-09-08,4.722,4.803,4.584,4.803,95240.0,11276.0
2008-09-09,5.039,5.039,4.82,5.039,121270.0,10717.0
2008-09-10,5.278,5.278,4.9,5.023,85850.0,10251.0
2008-09-11,4.979,4.979,4.789,4.789,51350.0,9785.0
2008-09-12,4.553,4.553,4.553,4.553,21190.0,9319.0
2008-09-15,4.328,4.771,4.328,4.409,101410.0,8900.0
2008-09-16,4.295,4.409,4.204,4.22,253500.0,8481.0
2008-09-17,4.204,4.236,4.061,4.189,97410.0,8061.0
2008-09-18,4.092,4.092,3.981,3.981,96820.0,7688.0
2008-09-19,4.172,4.172,4.172,4.172,47390.0,8061.0
2008-09-22,4.377,4.377,4.377,4.377,33740.0,8434.0
2008-09-23,4.172,4.377,4.172,4.172,91100.0,8760.0
2008-09-24,4.172,4.172,3.981,3.981,36300.0,8434.0
2008-09-25,3.873,4.029,3.873,4.029,50240.0,8853.0
2008-09-26,4.22,4.22,4.109,4.109,36110.0,9273.0
2008-09-29,4.029,4.029,3.904,3.904,36560.0,8946.0
2008-09-30,3.713,3.713,3.713,3.713,3400.0,8527.0
2008-10-01,3.649,3.888,3.573,3.761,21710.0,8667.0
2008-10-02,3.793,3.904,3.777,3.793,29780.0,8853.0
2008-10-03,3.713,3.713,3.606,3.713,30270.0,8527.0
2008-10-06,3.541,3.541,3.541,3.541,38890.0,8108.0
2008-10-07,3.365,3.413,3.365,3.381,88180.0,7735.0
2008-10-08,3.257,3.365,3.242,3.242,48350.0,7362.0
2008-10-09,3.242,3.396,3.242,3.242,32490.0,7036.0
2008-10-10,3.113,3.162,3.081,3.081,77470.0,6710.0
2008-10-13,3.21,3.225,3.081,3.225,103330.0,6384.0
2008-10-14,3.381,3.381,3.381,3.381,103360.0,6663.0
2008-10-15,3.509,3.509,3.381,3.396,71120.0,6989.0
2008-10-16,3.242,3.349,3.242,3.257,39390.0,7083.0
2008-10-17,3.381,3.413,3.365,3.413,45300.0,7269.0
2008-10-20,3.573,3.573,3.478,3.573,65980.0,6943.0
2008-10-21,3.744,3.744,3.573,3.744,56220.0,7269.0
2008-10-22,3.616,3.729,3.606,3.649,28180.0,7129.0
2008-10-23,3.493,3.493,3.478,3.478,32520.0,6803.0
2008-10-24,3.317,3.478,3.301,3.301,58890.0,6477.0
2008-10-27,3.146,3.146,3.146,3.146,61440.0,6197.0
2008-10-28,3.146,3.146,3.002,3.002,31490.0,6058.0
2008-10-29,3.146,3.146,2.986,3.002,62550.0,6337.0
2008-10-30,2.909,3.033,2.909,3.018,18220.0,6617.0
2008-10-31,3.162,3.162,2.921,3.002,122120.0,7015.0
2008-11-03,3.002,3.033,2.937,2.969,59340.0,7345.0
2008-11-04,3.049,3.113,2.969,3.113,94420.0,7674.0
2008-11-05,3.257,3.257,3.002,3.162,118630.0,8051.0
2008-11-06,3.033,3.176,3.002,3.033,80880.0,8380.0
2008-11-07,2.921,2.954,2.909,2.937,28340.0,8616.0
2008-11-10,3.064,3.081,2.969,3.002,117220.0,9039.0
2008-11-11,3.146,3.146,3.097,3.146,163900.0,8616.0
2008-11-12,3.146,3.194,3.081,3.146,51750.0,8192.0
2008-11-13,3.081,3.225,3.081,3.162,40460.0,8121.0
2008-11-14,3.162,3.162,3.081,3.13,51230.0,8474.0
2008-11-17,3.13,3.13,3.064,3.081,33640.0,8192.0
2008-11-18,3.002,3.081,3.002,3.033,27360.0,7980.0
2008-11-19,3.081,3.081,3.033,3.081,37130.0,7768.0
2008-11-20,2.954,3.049,2.954,3.002,52570.0,7415.0
2008-11-21,2.921,3.002,2.921,2.986,60710.0,7133.0
2008-11-24,3.002,3.13,2.969,3.13,64300.0,7415.0
2008-11-25,3.13,3.242,3.081,3.242,113770.0,7556.0
2008-11-26,3.162,3.162,3.081,3.081,68620.0,7203.0
2008-11-27,3.002,3.033,2.969,2.986,48610.0,6850.0
2008-11-28,2.954,3.064,2.954,3.064,60330.0,7133.0
2008-12-01,3.064,3.081,2.986,3.002,27550.0,7415.0
2008-12-02,2.909,3.002,2.893,3.002,41280.0,7062.0
