timestamp,open,high,low,close,volume,MarketCapital
2016-04-12,8.637,9.69,8.411,8.411,30900.0,18962.0
2016-04-13,8.411,8.787,8.411,8.637,66000.0,18923.0
2016-04-14,8.637,8.637,8.487,8.562,20100.0,18883.0
2016-04-15,8.487,8.637,8.263,8.562,51630.0,18763.0
2016-04-19,8.562,8.562,8.411,8.411,56100.0,18684.0
2016-04-20,8.411,8.862,8.336,8.637,85130.0,18724.0
2016-04-21,8.487,8.487,8.411,8.411,1609.0,18803.0
2016-04-22,8.411,8.411,8.336,8.336,16500.0,19002.0
2016-04-25,8.411,8.411,8.336,8.411,44200.0,19042.0
2016-04-26,8.411,8.411,8.336,8.411,17800.0,19042.0
2016-04-27,8.411,8.411,8.336,8.411,35900.0,18962.0
2016-04-28,8.411,8.411,8.411,8.411,10300.0,19241.0
2016-04-29,8.336,8.487,8.336,8.487,32700.0,19413.0
2016-05-04,8.336,8.487,8.336,8.487,43500.0,19213.0
2016-05-05,8.487,8.487,8.411,8.411,35700.0,19093.0
2016-05-06,8.487,8.562,8.411,8.411,30350.0,18973.0
2016-05-09,8.487,8.487,8.411,8.487,35700.0,18853.0
2016-05-10,8.411,8.411,8.411,8.411,142.0,18893.0
2016-05-11,8.411,8.487,8.411,8.487,41856.0,19053.0
2016-05-12,8.411,8.411,8.411,8.411,38159.0,18933.0
2016-05-13,8.411,8.411,8.411,8.411,26600.0,18933.0
2016-05-16,8.263,8.411,8.263,8.263,24178.0,18893.0
2016-05-17,8.263,8.263,8.263,8.263,79850.0,19013.0
2016-05-18,8.263,8.263,8.263,8.263,156600.0,19053.0
2016-05-19,8.263,8.263,8.263,8.263,72100.0,19053.0
2016-05-20,8.263,8.411,8.263,8.411,14200.0,19133.0
2016-05-23,8.336,8.336,8.336,8.336,320.0,19093.0
2016-05-24,8.336,8.487,8.336,8.487,25000.0,19053.0
2016-05-25,8.411,8.487,8.411,8.411,55100.0,19053.0
2016-05-26,8.411,8.637,8.263,8.637,43520.0,18973.0
2016-05-27,8.487,8.487,8.487,8.487,31.0,16377.0
2016-05-30,8.336,8.487,8.336,8.487,31000.0,16417.0
2016-05-31,8.411,8.411,8.411,8.411,7000.0,16297.0
2016-06-01,8.411,8.411,8.336,8.411,39998.0,16297.0
2016-06-02,8.411,8.411,8.411,8.411,8400.0,16297.0
2016-06-03,8.411,8.637,8.411,8.487,36200.0,16257.0
2016-06-06,8.411,8.637,8.411,8.637,80500.0,16137.0
2016-06-07,8.487,8.487,8.487,8.487,24000.0,16177.0
2016-06-08,8.487,8.712,8.487,8.637,58400.0,16257.0
2016-06-09,8.637,8.787,8.637,8.787,65080.0,16177.0
