timestamp,open,high,low,close,volume,MarketCapital
2018-01-18,6.608,6.608,6.608,6.608,5000.0,31322.0
2018-01-19,7.062,7.062,7.062,7.062,2200.0,31269.0
2018-01-22,7.541,7.541,7.541,7.541,3400.0,32331.0
2018-01-25,8.068,8.068,8.068,8.068,1000.0,32437.0
2018-01-26,8.618,8.618,8.618,8.618,9900.0,32277.0
2018-01-29,9.216,9.216,9.216,9.216,7000.0,32012.0
2018-01-30,9.839,9.839,9.216,9.839,291600.0,33976.0
2018-01-31,9.336,10.51,9.336,10.485,240700.0,33392.0
2018-02-01,10.773,10.773,9.767,9.767,214680.0,32702.0
2018-02-02,9.576,9.767,9.097,9.767,154050.0,32384.0
2018-02-05,9.144,9.576,9.097,9.576,165240.0,30313.0
2018-02-06,9.576,9.576,8.905,8.905,182810.0,28774.0
2018-02-07,9.073,9.528,8.905,9.528,166790.0,30048.0
2018-02-08,10.054,10.054,9.528,9.576,108730.0,29305.0
2018-02-09,9.576,10.007,9.48,9.719,101080.0,29198.0
2018-02-12,9.719,10.054,9.576,9.767,128290.0,30313.0
2018-02-13,10.054,10.054,9.576,9.815,130330.0,31322.0
2018-02-21,9.815,9.815,9.336,9.336,76550.0,31534.0
2018-02-22,9.336,9.576,9.097,9.097,115010.0,31003.0
2018-02-23,8.905,9.336,8.905,8.905,151990.0,32118.0
2018-02-26,9.097,9.528,9.097,9.528,114390.0,32065.0
2018-02-27,9.528,10.054,9.336,10.054,106990.0,31747.0
2018-02-28,10.007,10.007,9.576,9.719,108870.0,31747.0
2018-03-01,9.959,9.959,9.336,9.576,105870.0,32277.0
2018-03-02,9.432,9.576,9.336,9.336,113140.0,32437.0
2018-03-05,9.385,9.432,9.241,9.385,102060.0,32649.0
2018-03-06,9.385,9.576,9.385,9.576,95930.0,33605.0
2018-03-07,9.385,9.719,9.336,9.576,88030.0,33021.0
2018-03-08,9.336,9.576,9.097,9.097,94850.0,33021.0
2018-03-09,9.241,9.48,9.144,9.432,71230.0,32702.0
2018-03-12,9.432,9.528,9.336,9.432,57800.0,32596.0
2018-03-13,9.432,9.528,9.336,9.432,44830.0,31906.0
2018-03-14,9.432,9.528,9.336,9.385,33400.0,32277.0
2018-03-15,9.385,9.432,9.336,9.385,40180.0,32171.0
2018-03-16,9.288,9.336,9.097,9.336,34770.0,31906.0
2018-03-19,9.336,9.336,9.097,9.241,40660.0,32118.0
2018-03-20,9.097,9.097,9.001,9.097,44830.0,32543.0
2018-03-21,9.097,9.097,8.953,9.097,39310.0,32384.0
2018-03-22,9.097,9.097,8.905,9.001,27640.0,31906.0
2018-03-23,8.905,9.001,8.81,8.858,25380.0,31109.0
2018-03-26,8.858,8.858,8.618,8.618,28350.0,31428.0
2018-03-27,8.475,8.618,8.475,8.618,26550.0,31587.0
2018-03-28,8.618,8.618,8.475,8.618,17500.0,31269.0
2018-03-29,8.618,8.618,8.475,8.618,17130.0,31587.0
2018-03-30,8.618,8.618,8.57,8.618,16910.0,32224.0
2018-04-02,8.618,8.618,8.57,8.618,12590.0,32649.0
2018-04-03,8.618,8.618,8.379,8.57,17040.0,32490.0
2018-04-04,8.57,8.57,8.523,8.546,10090.0,32755.0
2018-04-05,8.546,8.57,8.475,8.546,11490.0,33445.0
2018-04-06,8.546,8.546,8.379,8.379,8200.0,33286.0
2018-04-09,8.379,8.618,8.379,8.57,10550.0,33658.0
2018-04-10,8.57,8.57,8.14,8.523,5250.0,34189.0
2018-04-11,8.523,8.523,7.948,7.948,11840.0,33445.0
2018-04-12,8.14,8.14,7.948,8.044,6440.0,33764.0
2018-04-13,8.044,8.594,7.661,8.594,108550.0,32914.0
2018-04-16,8.594,8.858,8.594,8.858,41750.0,32437.0
2018-04-17,8.905,9.001,8.858,9.001,20380.0,32914.0
2018-04-18,9.001,9.049,8.81,9.049,33730.0,32914.0
2018-04-19,9.049,9.049,8.81,8.953,33300.0,32224.0
2018-04-20,8.953,9.001,8.81,9.001,29340.0,32706.0
2018-04-23,9.001,9.001,8.618,8.81,10000.0,30945.0
2018-04-24,8.81,8.858,8.666,8.81,9230.0,30091.0
2018-04-26,8.81,8.81,8.618,8.618,4500.0,29344.0
2018-04-27,8.618,8.858,8.618,8.786,4720.0,30411.0
2018-05-02,8.786,8.786,8.618,8.786,5160.0,30411.0
2018-05-03,8.618,8.761,8.618,8.618,8380.0,30945.0
2018-05-04,8.618,8.761,8.618,8.618,7460.0,31372.0
2018-05-07,8.618,8.714,8.523,8.618,6500.0,31799.0
2018-05-08,8.618,8.666,8.427,8.57,10700.0,31478.0
2018-05-09,8.57,8.57,8.379,8.57,5640.0,31158.0
2018-05-10,8.379,8.57,8.331,8.475,43860.0,31105.0
2018-05-11,8.475,8.475,8.284,8.475,67550.0,31745.0
2018-05-14,8.451,8.475,8.331,8.475,45050.0,32866.0
2018-05-15,8.475,8.475,8.236,8.307,41430.0,32759.0
2018-05-16,8.236,8.475,8.236,8.475,19760.0,32279.0
2018-05-17,8.475,8.57,8.379,8.57,21500.0,32332.0
2018-05-18,8.57,8.57,8.427,8.523,20820.0,32439.0
2018-05-21,8.523,8.523,8.379,8.523,23420.0,32546.0
2018-05-22,8.523,8.523,8.331,8.475,18510.0,31852.0
2018-05-23,8.475,8.475,8.379,8.475,19760.0,32332.0
2018-05-24,8.475,8.475,8.379,8.402,18030.0,31745.0
2018-05-25,8.402,8.427,8.284,8.355,27800.0,26090.0
2018-05-28,8.355,8.355,8.284,8.307,6210.0,24276.0
2018-05-29,8.14,8.331,8.14,8.331,8110.0,25289.0
2018-05-30,8.331,8.379,8.236,8.284,9740.0,24249.0
2018-05-31,8.284,8.284,8.14,8.284,9500.0,24543.0
2018-06-01,8.14,8.284,8.044,8.236,7600.0,24783.0
2018-06-04,8.236,8.236,8.14,8.236,1980.0,25209.0
2018-06-05,8.236,8.236,8.092,8.14,1590.0,25503.0
2018-06-06,7.709,8.284,7.709,7.9,5220.0,25876.0
2018-06-07,7.9,7.9,7.422,7.422,22540.0,29328.0
2018-06-08,7.182,7.925,7.182,7.853,31290.0,29420.0
2018-06-11,7.853,8.092,7.853,8.092,27050.0,29144.0
2018-06-12,8.092,8.092,7.853,7.9,34850.0,28408.0
2018-06-13,7.9,7.996,7.661,7.661,22560.0,28714.0
2018-06-14,7.661,7.853,7.661,7.853,17370.0,28592.0
2018-06-15,7.804,7.996,7.661,7.996,22280.0,28530.0
2018-06-18,7.996,7.996,7.853,7.9,10870.0,27855.0
2018-06-19,7.9,7.9,7.756,7.804,4260.0,27303.0
2018-06-20,7.853,7.853,7.756,7.853,8620.0,27855.0
2018-06-21,7.853,7.853,7.804,7.853,3450.0,27242.0
2018-06-22,7.661,7.9,7.661,7.9,83500.0,27610.0
2018-06-25,7.9,7.948,7.804,7.948,75030.0,27671.0
2018-06-26,7.9,7.948,7.661,7.9,74410.0,27303.0
2018-06-27,7.661,7.9,7.661,7.9,39000.0,27180.0
2018-06-28,7.9,7.9,7.756,7.9,7790.0,26076.0
2018-06-29,7.9,8.044,7.709,8.044,42430.0,25463.0
2018-07-02,8.259,8.589,8.149,8.589,137950.0,24665.0
2018-07-03,8.589,9.168,8.424,8.975,137010.0,23929.0
2018-07-04,8.81,9.305,8.81,9.086,122910.0,24542.0
2018-07-05,9.086,9.36,8.975,9.36,116400.0,24235.0
2018-07-06,9.305,9.526,9.251,9.305,57640.0,25033.0
2018-07-09,9.305,9.305,9.086,9.195,22050.0,24634.0
2018-07-10,9.195,9.305,9.14,9.14,28000.0,24788.0
2018-07-11,9.14,9.14,8.975,9.086,79680.0,24051.0
2018-07-12,9.086,9.36,8.975,9.305,119550.0,23806.0
2018-07-13,9.305,9.526,9.305,9.415,82410.0,24910.0
2018-07-16,9.526,9.526,9.305,9.415,104960.0,25094.0
2018-07-17,9.415,9.745,9.415,9.526,92860.0,25708.0
2018-07-18,9.526,9.691,8.92,9.36,76250.0,26321.0
2018-07-19,9.36,9.36,9.14,9.36,47590.0,26076.0
2018-07-20,9.36,9.745,9.36,9.635,88890.0,25524.0
2018-07-23,9.635,9.801,9.608,9.691,62510.0,25769.0
2018-07-24,9.691,9.801,9.635,9.635,57250.0,25892.0
2018-07-25,9.635,9.691,9.415,9.526,47560.0,26015.0
2018-07-26,9.526,9.58,9.36,9.47,45160.0,26107.0
2018-07-27,9.36,9.58,9.305,9.415,43550.0,26567.0
2018-07-30,9.415,9.58,9.251,9.526,58540.0,26567.0
2018-07-31,9.526,9.635,9.526,9.58,31260.0,26260.0
2018-08-01,9.58,9.856,9.58,9.691,54550.0,25769.0
2018-08-02,9.691,9.745,9.635,9.691,56340.0,26199.0
2018-08-03,9.691,9.856,9.553,9.691,52980.0,26137.0
2018-08-06,9.691,9.691,9.526,9.691,51050.0,25923.0
2018-08-07,9.691,9.691,9.526,9.526,45330.0,25739.0
2018-08-08,9.526,9.635,9.36,9.526,51210.0,26076.0
2018-08-09,9.526,9.58,9.36,9.36,99020.0,26260.0
2018-08-10,9.086,9.635,8.865,9.36,107150.0,26444.0
2018-08-13,9.415,9.635,9.305,9.526,128140.0,26659.0
